system:index,0_NBR_delta_lag4,0_NBR_lag4,0_NDMI_delta_lag4,0_NDMI_lag4,0_NDVI_delta_lag4,0_NDVI_lag4,0_SR_B4_delta_lag4,0_SR_B4_lag4,0_SR_B5_delta_lag4,0_SR_B5_lag4,0_SR_B6_delta_lag4,0_SR_B6_lag4,0_SR_B7_delta_lag4,0_SR_B7_lag4,1_NBR_delta_lag3,1_NBR_lag3,1_NDMI_delta_lag3,1_NDMI_lag3,1_NDVI_delta_lag3,1_NDVI_lag3,1_SR_B4_delta_lag3,1_SR_B4_lag3,1_SR_B5_delta_lag3,1_SR_B5_lag3,1_SR_B6_delta_lag3,1_SR_B6_lag3,1_SR_B7_delta_lag3,1_SR_B7_lag3,2_NBR_delta_lag2,2_NBR_lag2,2_NDMI_delta_lag2,2_NDMI_lag2,2_NDVI_delta_lag2,2_NDVI_lag2,2_SR_B4_delta_lag2,2_SR_B4_lag2,2_SR_B5_delta_lag2,2_SR_B5_lag2,2_SR_B6_delta_lag2,2_SR_B6_lag2,2_SR_B7_delta_lag2,2_SR_B7_lag2,3_NBR_delta_lag1,3_NBR_lag1,3_NDMI_delta_lag1,3_NDMI_lag1,3_NDVI_delta_lag1,3_NDVI_lag1,3_SR_B4_delta_lag1,3_SR_B4_lag1,3_SR_B5_delta_lag1,3_SR_B5_lag1,3_SR_B6_delta_lag1,3_SR_B6_lag1,3_SR_B7_delta_lag1,3_SR_B7_lag1,4_NBR_lag0,4_NDMI_lag0,4_NDVI_lag0,4_SR_B4_lag0,4_SR_B5_lag0,4_SR_B6_lag0,4_SR_B7_lag0,class,latitude,longitude,.geo
1_3000_0,-0.021902757,0.35755813,-0.0030500593,0.22324087,-0.01887339,0.4229917,-107.0,8332.0,-1253.0,20548.0,-707.0,13048.0,-83.0,9724.0,0.019634476,0.39909536,0.029095288,0.2553862,0.013851615,0.4557167,-285.5,8153.5,6.0,21807.0,-820.5,12934.5,-441.0,9366.0,-0.031034805,0.3484261,-0.030109182,0.19618174,-0.04244521,0.39941987,-157.0,8282.0,-2503.0,19298.0,-787.0,12968.0,-482.0,9325.0,-0.030002078,0.3494588,-0.027861709,0.19842921,-0.0257943,0.4160708,-7.5,8431.5,-1354.0,20447.0,-79.0,13676.0,50.0,9857.0,0.3794609,0.22629093,0.4418651,8439.0,21801.0,13755.0,9807.0,1,-1.2958647131066159,-51.727733921218615,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3001_0,-0.014500924,0.34923792,-0.009507358,0.21326454,-0.013488725,0.40554044,-140.5,8031.0,-970.5,18988.5,-373.5,12313.0,-153.5,9158.5,-0.01824442,0.34549445,-0.011250287,0.21152161,-0.01782781,0.40120137,-47.0,8124.5,-947.5,19011.5,-313.5,12373.0,-64.0,9248.0,-0.0062000905,0.35753876,-0.0036684738,0.21910343,-0.0068995515,0.4121296,-116.5,8055.0,-610.0,19349.0,-292.5,12394.0,-155.0,9157.0,-0.0019401743,0.36179867,0.006841636,0.22961353,-3.6288297E-4,0.41866627,-55.5,8116.0,-153.0,19806.0,-277.5,12409.0,-30.0,9282.0,0.36373886,0.2227719,0.41902918,8171.5,19959.0,12686.5,9312.0,1,-8.416720138793652,-54.73259854659842,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3002_0,-0.0037826356,0.33532977,-0.004928696,0.20367254,-0.0059693456,0.37941834,-48.0,8124.5,-362.5,18059.0,-115.0,11947.5,-102.5,8989.0,-0.025108533,0.31400388,-0.02886289,0.17973834,-0.019958267,0.3654294,-0.5,8172.0,-837.5,17584.0,163.5,12226.0,88.5,9180.0,-0.009640207,0.3294722,-0.019249622,0.18935162,-0.009140195,0.3762475,124.5,8297.0,-115.0,18306.5,415.0,12477.5,141.5,9233.0,-0.009270266,0.32984215,-0.003944907,0.20465633,-0.008180866,0.3772068,-76.5,8096.0,-518.5,17903.0,-242.5,11820.0,-69.5,9022.0,0.33911243,0.20860124,0.3853877,8172.5,18421.5,12062.5,9091.5,1,-9.371269959699054,-68.88241174440707,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3003_0,0.006563539,0.35305265,0.006373025,0.20708916,0.010468789,0.4155219,-52.5,8254.0,373.0,19990.0,72.5,13131.0,37.0,9558.0,0.012213859,0.358703,0.009394641,0.21011077,0.009382503,0.4144356,37.5,8344.0,538.0,20155.0,97.5,13156.0,-8.0,9513.0,0.005559122,0.35204825,0.009052066,0.2097682,0.0057415925,0.41079468,-160.0,8146.5,-111.0,19506.0,-317.0,12741.5,-173.0,9348.0,0.015727028,0.36221614,0.020790024,0.22150616,0.013524185,0.41857728,-33.0,8273.5,569.0,20186.0,-193.5,12865.0,-70.0,9451.0,0.34648913,0.20071614,0.40505308,8306.5,19617.0,13058.5,9521.0,1,-7.489119776411833,-51.064238252367936,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3004_0,0.059717942,0.3329499,0.072007835,0.1966954,0.047517147,0.39308938,-314.5,8330.0,1346.5,19120.5,-998.0,12835.0,-577.0,9568.5,0.08460182,0.3578338,0.08782017,0.21250774,0.06676098,0.41233322,-496.5,8148.0,1808.0,19582.0,-1115.0,12718.0,-884.5,9261.0,0.045579277,0.31881124,0.03490782,0.15959539,0.036133,0.38170522,-334.0,8310.5,797.5,18571.5,-373.5,13459.5,-553.0,9592.5,0.0599644,0.33319637,0.072459154,0.19714673,0.048783876,0.3943561,-188.5,8456.0,1694.0,19468.0,-777.0,13056.0,-408.5,9737.0,0.27323198,0.12468757,0.34557223,8644.5,17774.0,13833.0,10145.5,1,-15.040088560135295,-63.44724494937031,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3005_0,-0.010954794,0.31003866,0.005094101,0.18920234,-0.013930111,0.3537135,37.0,8171.0,-477.0,17115.0,-452.5,11669.0,-28.5,9014.0,-0.009140131,0.31185332,0.0029765484,0.18708478,-0.006712295,0.36093134,-37.0,8097.0,-349.0,17243.0,-313.5,11808.0,2.5,9045.0,-0.007015735,0.31397772,-1.6463333E-5,0.18409178,-0.009429661,0.35821396,-13.0,8121.0,-405.5,17186.5,-279.0,11842.5,-69.5,8973.0,-0.0075085997,0.31348485,0.0059936987,0.19010194,-0.0063591315,0.3612845,1.0,8135.0,-254.0,17338.0,-322.5,11799.0,19.5,9062.0,0.32099345,0.18410823,0.36764362,8134.0,17592.0,12121.5,9042.5,1,-11.82879108246483,-60.32919259819145,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3006_0,-0.047692865,0.2991391,-0.038534466,0.16133755,-0.0530905,0.3482369,-168.0,8243.5,-2636.5,17052.5,-815.0,12314.5,-349.0,9199.5,-0.0772584,0.26957357,-0.06913649,0.13073553,-0.065087594,0.33623978,114.5,8526.0,-2525.0,17164.0,65.5,13195.0,326.5,9875.0,-0.0738562,0.27297577,-0.07703003,0.122841984,-0.06508634,0.33624104,263.0,8674.5,-2226.0,17463.0,512.5,13642.0,425.0,9973.5,-0.032250997,0.31458098,-0.022362245,0.17750978,-0.035969656,0.36535773,-15.5,8396.0,-1626.0,18063.0,-512.5,12617.0,-130.5,9418.0,0.34683198,0.19987202,0.40132737,8411.5,19689.0,13129.5,9548.5,1,-15.327100293411483,-60.739632851505654,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3007_0,0.010641483,0.39475077,0.010905886,0.26098925,0.012520682,0.45366424,-76.0,7919.0,453.5,21070.5,-19.5,12348.5,-30.5,9143.5,-0.011483672,0.37262562,-0.0117884725,0.2382949,-0.014037811,0.42710575,185.5,8180.5,-239.0,20378.0,167.0,12535.0,140.0,9314.0,0.005244594,0.3893539,0.007056065,0.25713944,0.0033830383,0.4445266,79.5,8074.5,381.0,20998.0,40.0,12408.0,55.0,9229.0,0.007628644,0.39173794,0.009472529,0.2595559,0.0010272424,0.44217083,156.0,8151.0,456.0,21073.0,20.0,12388.0,36.0,9210.0,0.3841093,0.25008336,0.44114357,7995.0,20617.0,12368.0,9174.0,1,-7.6357248307801395,-51.96542814539664,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3008_0,0.0038980981,0.3672506,0.0072623207,0.22586583,0.0037663162,0.41498476,18.5,8261.0,225.0,19981.0,-50.0,12618.0,21.5,9247.0,-0.006260662,0.3570918,-0.005593955,0.21300955,-0.0026775715,0.40854087,-67.5,8175.0,-287.5,19468.5,-37.0,12631.0,-2.5,9223.0,-1.823653E-5,0.36333424,0.003033717,0.22163722,0.003040347,0.4142588,-2.0,8240.5,140.5,19896.5,9.0,12677.0,66.0,9291.5,0.0029026605,0.36625513,0.0034699936,0.2220735,0.004285418,0.4155039,51.5,8294.0,330.0,20086.0,118.0,12786.0,91.5,9317.0,0.36335248,0.2186035,0.41121846,8242.5,19756.0,12668.0,9225.5,1,-10.892566893355465,-64.1543987410292,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3009_0,-0.0066786767,0.36172393,-0.0067664916,0.21894483,-0.0023184016,0.41253918,-70.5,8009.0,-278.5,19257.5,-1.5,12339.5,9.5,9026.5,-0.011174675,0.35722795,-0.007956463,0.21775487,-0.014857598,0.4,221.5,8301.0,-167.0,19369.0,101.0,12442.0,156.0,9173.0,-0.00772475,0.36067787,-0.0014165945,0.22429474,-0.006081022,0.40877658,-43.0,8036.5,-386.5,19149.5,-208.0,12133.0,-19.5,8997.5,-0.011599575,0.35680306,-0.0018553834,0.22385594,-0.0140977055,0.4007599,3.5,8083.0,-641.5,18894.5,-358.5,11982.5,-60.0,8957.0,0.36840263,0.22571133,0.4148576,8079.5,19536.0,12341.0,9017.0,1,-5.912037463611601,-61.29533068626199,"{""type"":""MultiPoint"",""coordinates"":[]}"
