system:index,0_NBR_delta_lag4,0_NBR_lag4,0_NDMI_delta_lag4,0_NDMI_lag4,0_NDVI_delta_lag4,0_NDVI_lag4,0_SR_B4_delta_lag4,0_SR_B4_lag4,0_SR_B5_delta_lag4,0_SR_B5_lag4,0_SR_B6_delta_lag4,0_SR_B6_lag4,0_SR_B7_delta_lag4,0_SR_B7_lag4,1_NBR_delta_lag3,1_NBR_lag3,1_NDMI_delta_lag3,1_NDMI_lag3,1_NDVI_delta_lag3,1_NDVI_lag3,1_SR_B4_delta_lag3,1_SR_B4_lag3,1_SR_B5_delta_lag3,1_SR_B5_lag3,1_SR_B6_delta_lag3,1_SR_B6_lag3,1_SR_B7_delta_lag3,1_SR_B7_lag3,2_NBR_delta_lag2,2_NBR_lag2,2_NDMI_delta_lag2,2_NDMI_lag2,2_NDVI_delta_lag2,2_NDVI_lag2,2_SR_B4_delta_lag2,2_SR_B4_lag2,2_SR_B5_delta_lag2,2_SR_B5_lag2,2_SR_B6_delta_lag2,2_SR_B6_lag2,2_SR_B7_delta_lag2,2_SR_B7_lag2,3_NBR_delta_lag1,3_NBR_lag1,3_NDMI_delta_lag1,3_NDMI_lag1,3_NDVI_delta_lag1,3_NDVI_lag1,3_SR_B4_delta_lag1,3_SR_B4_lag1,3_SR_B5_delta_lag1,3_SR_B5_lag1,3_SR_B6_delta_lag1,3_SR_B6_lag1,3_SR_B7_delta_lag1,3_SR_B7_lag1,4_NBR_lag0,4_NDMI_lag0,4_NDVI_lag0,4_SR_B4_lag0,4_SR_B5_lag0,4_SR_B6_lag0,4_SR_B7_lag0,class,latitude,longitude,.geo
1_3000_0,0.04188643,0.40915337,0.034561682,0.26824576,0.054505885,0.4745687,-180.0,8223.0,2501.0,23077.0,534.0,13315.0,154.0,9676.0,0.036830317,0.40409726,0.028138489,0.26182258,0.041588314,0.46165112,-224.0,8179.0,1630.5,22206.5,210.0,12991.0,-97.5,9424.5,0.03053008,0.39779702,0.018378984,0.25206307,0.031426243,0.45148903,97.0,8500.0,1917.0,22493.0,655.5,13436.5,168.5,9690.5,0.0045022597,0.3717692,-0.002050664,0.23163342,0.01379518,0.43385798,-157.0,8246.0,308.5,20884.5,248.0,13029.0,42.5,9564.5,0.36726692,0.23368408,0.4200628,8403.0,20576.0,12781.0,9522.0,1,5.183054610548609,118.0075017087104,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3001_0,0.10846761,0.3131738,0.09465078,0.1614465,0.13715106,0.39374402,-2528.5,8557.0,934.0,19672.0,-2188.5,14203.0,-2081.0,10289.0,0.0852654,0.2899716,0.08116284,0.14795856,0.10684696,0.36343992,-2395.5,8690.0,-125.0,18613.0,-2576.5,13815.0,-2125.0,10245.0,0.09210938,0.29681557,0.07324059,0.1400363,0.10462695,0.3612199,-2686.5,8399.0,-840.0,17898.0,-2890.5,13501.0,-2665.0,9705.0,0.03684905,0.24155524,0.025033092,0.09182881,0.05697205,0.31356502,-1357.0,9728.5,-121.5,18616.5,-906.5,15485.0,-997.5,11372.5,0.20470619,0.066795714,0.25659296,11085.5,18738.0,16391.5,12370.0,1,-3.237303705145726,114.98943184865404,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3002_0,-3.6172185E-4,0.42357945,2.0597334E-4,0.2659767,-0.0010475753,0.4751724,88.0,8334.0,184.5,23425.0,101.0,13582.0,83.0,9485.0,-0.00936539,0.4145758,-0.0041113207,0.2616594,-0.0076926127,0.46852735,-115.0,8131.0,-773.5,22467.0,-333.0,13148.0,-104.0,9298.0,-0.017233863,0.40670732,-0.020460216,0.24531052,-0.010154894,0.46606508,156.0,8402.0,-170.5,23070.0,500.0,13981.0,328.0,9730.0,-0.018242573,0.4056986,-0.014201851,0.25156888,-0.017789839,0.45843014,30.0,8276.0,-953.5,22287.0,-153.5,13327.5,20.5,9422.5,0.4239412,0.26577073,0.47621998,8246.0,23240.5,13481.0,9402.0,1,5.618557860289753,118.26325207009923,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3003_0,-0.05727715,0.3101188,-0.026322296,0.21219014,-0.089825615,0.34127417,-408.0,7853.0,-4791.0,15990.0,-2385.0,10392.0,-1194.0,8420.0,0.008016407,0.37541234,-0.007186322,0.2313261,-0.0055242223,0.42557555,-71.0,8190.0,-455.5,20325.5,-88.5,12688.5,-384.0,9230.0,-0.0109872315,0.35640872,-0.021019679,0.21749274,-0.021137828,0.40996197,37.0,8298.0,-952.0,19829.0,-32.5,12744.5,-205.5,9408.5,0.033012196,0.40040815,0.013029131,0.25154155,0.020271618,0.4513714,-90.0,8171.0,835.0,21616.0,150.0,12927.0,-359.0,9255.0,0.36739597,0.23851243,0.43109977,8261.0,20781.0,12777.0,9614.0,1,-0.7652298747772145,114.42187625214733,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3004_0,-0.026585005,0.34666705,-0.031796828,0.18355615,-0.011614082,0.43671054,653.0,9041.5,1038.5,23061.0,1690.0,15908.0,1137.0,11188.0,-0.05924163,0.31401044,-0.058690958,0.15666203,-0.05797574,0.39034888,641.5,9030.0,-1429.0,20593.5,797.0,15015.0,700.0,10751.0,-0.0016398664,0.3716122,-7.3908863E-4,0.2146139,-0.003109411,0.4452152,9.0,8397.5,-147.0,21875.5,-73.0,14145.0,-29.0,10022.0,-0.004078938,0.3691731,-0.0044793333,0.21087365,-0.016451342,0.4318733,165.5,8554.0,-463.5,21559.0,-168.0,14050.0,-118.0,9933.0,0.37325206,0.21535298,0.44832462,8388.5,22022.5,14218.0,10051.0,1,-0.5649953979469731,116.86969556984461,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3005_0,-0.018876314,0.37528524,-0.01572122,0.22588593,-0.021760795,0.44236213,-428.5,8272.0,-2375.5,21396.0,-1009.0,13511.0,-611.0,9719.0,0.014547106,0.40870866,0.016193623,0.25780076,-0.0046373126,0.45948562,-325.5,8375.0,-1157.5,22614.0,-1176.0,13344.0,-838.0,9492.0,-0.005575176,0.38858637,0.0067610373,0.24836819,-0.016389031,0.4477339,-91.5,8609.0,-1203.5,22568.0,-932.0,13588.0,-393.0,9937.0,-0.004233136,0.3899284,-0.0013944026,0.24021274,-3.4684868E-4,0.46377608,-414.5,8286.0,-1152.5,22619.0,-663.0,13857.0,-402.0,9928.0,0.39416155,0.24160714,0.46412295,8700.5,23771.5,14520.0,10330.0,1,-1.8704271688294618,111.12083707759332,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3006_0,0.008922305,0.3481332,-0.010094136,0.20951888,-0.015438629,0.38430226,95.0,8319.0,-473.5,18704.0,-47.0,12224.0,-418.5,9044.0,0.035331294,0.37454218,0.019508613,0.23912163,0.01367487,0.41341576,31.0,8255.0,713.5,19891.0,-57.0,12214.0,-411.5,9051.0,0.034725197,0.3739361,0.01252739,0.2321404,0.017013367,0.41675425,99.5,8323.5,1041.0,20218.5,329.0,12600.0,-249.5,9213.0,0.03660398,0.37581488,0.023908699,0.24352172,0.018052755,0.41779363,52.5,8276.5,977.5,20155.0,-10.0,12261.0,-318.5,9144.0,0.3392109,0.21961302,0.3997409,8224.0,19177.5,12271.0,9462.5,1,-2.4897257257014602,111.31514267354837,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3007_0,0.0057762526,0.36856288,0.0017235818,0.23670979,0.0043288637,0.41917223,-47.5,8002.5,89.0,19553.0,11.0,12068.0,-79.5,9021.5,-0.0013551599,0.36143148,-0.0033317055,0.2316545,-0.009909712,0.40493363,200.0,8250.0,14.0,19478.0,94.0,12151.0,35.0,9136.0,-0.018021485,0.34476516,-0.016202705,0.2187835,-0.020613689,0.39422965,-145.0,7905.0,-1270.0,18194.0,-395.0,11662.0,-236.0,8865.0,-0.0055193845,0.35726723,-0.0056263553,0.22935985,-0.007984272,0.40685907,83.0,8133.0,-173.5,19290.5,35.5,12092.5,34.0,9135.0,0.36278662,0.2349862,0.41484335,8050.0,19464.0,12057.0,9101.0,1,3.4561333083572414,116.38810874602814,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3008_0,0.009324342,0.33580214,0.008262913,0.19893883,0.014399045,0.40296164,-40.5,8366.0,568.0,19659.0,158.5,13135.0,81.5,9775.0,0.01888981,0.3453676,0.011380967,0.20205688,0.03406494,0.42262754,-413.5,7993.0,603.5,19694.5,97.0,13073.5,-110.5,9583.0,0.028880334,0.35535812,0.024405,0.21508092,0.036588572,0.42515117,-207.0,8199.5,1237.0,20328.0,155.0,13131.5,-25.0,9668.5,-1.3048647E-4,0.3263473,-0.00769016,0.18298575,0.006242306,0.3948049,-333.5,8073.0,-485.0,18606.0,-126.5,12850.0,-243.5,9450.0,0.3264778,0.19067591,0.3885626,8406.5,19091.0,12976.5,9693.5,1,6.17748963006892,116.48162336710497,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3009_0,2.9844345E-4,0.38655594,0.0024366246,0.24436826,0.0066786497,0.44469118,319.0,8440.0,1177.5,21957.5,649.5,13333.5,514.5,9714.5,-0.013905463,0.37235203,-0.012648654,0.22928298,-0.013665488,0.42434704,133.0,8254.0,-357.0,20423.0,120.5,12804.5,140.5,9340.5,0.0046183136,0.39087582,-0.005385839,0.23654579,0.008256879,0.4462694,172.5,8293.5,881.5,21661.5,690.0,13374.0,286.5,9486.5,0.022669505,0.40892702,0.016724512,0.25865614,0.035816986,0.4738295,74.5,8195.5,2176.0,22956.0,837.0,13521.0,430.5,9630.5,0.3862575,0.24193163,0.43801254,8121.0,20780.0,12684.0,9200.0,1,-0.2367509931296999,117.31894304343278,"{""type"":""MultiPoint"",""coordinates"":[]}"
