system:index,0_NBR_delta_lag4,0_NBR_lag4,0_NDMI_delta_lag4,0_NDMI_lag4,0_NDVI_delta_lag4,0_NDVI_lag4,0_SR_B4_delta_lag4,0_SR_B4_lag4,0_SR_B5_delta_lag4,0_SR_B5_lag4,0_SR_B6_delta_lag4,0_SR_B6_lag4,0_SR_B7_delta_lag4,0_SR_B7_lag4,1_NBR_delta_lag3,1_NBR_lag3,1_NDMI_delta_lag3,1_NDMI_lag3,1_NDVI_delta_lag3,1_NDVI_lag3,1_SR_B4_delta_lag3,1_SR_B4_lag3,1_SR_B5_delta_lag3,1_SR_B5_lag3,1_SR_B6_delta_lag3,1_SR_B6_lag3,1_SR_B7_delta_lag3,1_SR_B7_lag3,2_NBR_delta_lag2,2_NBR_lag2,2_NDMI_delta_lag2,2_NDMI_lag2,2_NDVI_delta_lag2,2_NDVI_lag2,2_SR_B4_delta_lag2,2_SR_B4_lag2,2_SR_B5_delta_lag2,2_SR_B5_lag2,2_SR_B6_delta_lag2,2_SR_B6_lag2,2_SR_B7_delta_lag2,2_SR_B7_lag2,3_NBR_delta_lag1,3_NBR_lag1,3_NDMI_delta_lag1,3_NDMI_lag1,3_NDVI_delta_lag1,3_NDVI_lag1,3_SR_B4_delta_lag1,3_SR_B4_lag1,3_SR_B5_delta_lag1,3_SR_B5_lag1,3_SR_B6_delta_lag1,3_SR_B6_lag1,3_SR_B7_delta_lag1,3_SR_B7_lag1,4_NBR_lag0,4_NDMI_lag0,4_NDVI_lag0,4_SR_B4_lag0,4_SR_B5_lag0,4_SR_B6_lag0,4_SR_B7_lag0,class,latitude,longitude,.geo
1_3000_0,0.013885274,0.18359119,-0.01950929,0.13637702,0.06752874,0.24767844,-948.5,8142.0,417.5,13503.0,706.0,10262.0,25.5,9314.0,0.057113983,0.22681989,-0.026371567,0.12951475,0.10656176,0.28671145,-864.5,8226.0,1753.5,14839.0,1880.0,11436.0,63.5,9352.0,0.03564164,0.20534755,0.011328437,0.16721475,0.07107742,0.25122714,-700.5,8390.0,934.5,14020.0,447.0,10003.0,-45.5,9243.0,0.025655726,0.19536163,-0.045041278,0.11084504,0.060399648,0.24054936,-713.0,8377.5,599.0,13684.5,1397.5,10953.5,-77.0,9211.5,0.16970591,0.15588632,0.1801497,9090.5,13085.5,9556.0,9288.5,1,59.50265270527308,108.47898165852622,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3001_0,0.16804181,0.21170066,0.099203706,0.09730584,0.12373753,0.27428445,-44.0,8304.0,3274.0,14581.0,645.0,11995.0,-875.0,9486.0,0.18142775,0.2250866,0.14834139,0.14644352,0.1537114,0.30425832,-236.0,8112.0,3900.0,15207.0,-28.0,11322.0,-742.0,9619.0,0.09271269,0.13637154,0.040819667,0.0389218,0.060613614,0.21116056,162.0,8510.0,1759.0,13066.0,737.0,12087.0,-431.0,9930.0,0.058370993,0.102029845,0.03712959,0.03523172,0.031430718,0.18197766,162.5,8510.5,990.0,12297.0,110.0,11460.0,-341.0,10020.0,0.043658853,-0.0018978682,0.15054694,8348.0,11307.0,11350.0,10361.0,1,64.07220289253226,116.46114177862705,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3002_0,0.059059475,0.35454774,0.070585854,0.23842718,0.05139242,0.40171131,-2009.0,8076.0,-2040.0,18921.0,-3300.5,11635.5,-2383.0,9016.0,0.0010041829,0.29649243,0.0063966243,0.17423795,-0.013767867,0.336551,-1700.0,8385.0,-4069.0,16892.0,-3057.0,11879.0,-2233.0,9166.0,0.02598732,0.32147557,0.038047086,0.2058884,0.026610825,0.3769297,-2134.0,7951.0,-3390.0,17571.0,-3365.0,11571.0,-2377.0,9022.0,0.025261013,0.32074928,0.053709567,0.2215509,0.0018593691,0.35217825,-1319.0,8766.0,-2664.0,18297.0,-3276.0,11660.0,-1989.0,9410.0,0.29548827,0.16784133,0.35031888,10085.0,20961.0,14936.0,11399.0,1,57.91317364155199,92.60521159896379,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3003_0,0.02151943,0.19274001,0.040771972,0.1182517,1.8417208E-4,0.2145035,-1646.0,8373.0,-2539.0,12946.0,-3050.0,10208.0,-2195.5,8762.0,0.08016808,0.25138867,0.10302124,0.18050097,0.078356184,0.2926755,-1883.0,8136.0,-616.0,14869.0,-2936.0,10322.0,-2062.5,8895.0,0.0155831,0.18680367,0.045948565,0.1234283,0.018375853,0.23269518,-1913.0,8106.0,-2462.5,13022.5,-3097.0,10161.0,-2034.5,8923.0,0.020769358,0.19198993,0.032414358,0.10989409,0.025185674,0.239505,-2030.0,7989.0,-2464.0,13021.0,-2815.5,10442.5,-2131.0,8826.5,0.17122057,0.077479735,0.21431932,10019.0,15485.0,13258.0,10957.5,1,59.218605412434485,98.3308935568848,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3004_0,-0.04814492,0.16574652,-0.011946253,0.097732075,-0.057782006,0.20113273,-1281.0,8040.0,-3745.5,12088.5,-2768.0,9936.0,-1603.0,8651.0,-0.0341517,0.17973974,0.023543611,0.13322194,-0.021737823,0.23717691,-1271.5,8049.5,-2779.0,13055.0,-2718.5,9985.5,-1177.0,9077.0,-0.08590307,0.12798837,-0.035409406,0.07426892,-0.06742838,0.19148634,-764.5,8556.5,-3224.5,12609.5,-1838.0,10866.0,-506.0,9748.0,-0.071191646,0.1426998,-0.06461114,0.045067187,-0.063688815,0.19522591,-589.0,8732.0,-2865.5,12968.5,-854.0,11850.0,-524.5,9729.5,0.21389145,0.10967832,0.25891474,9321.0,15834.0,12704.0,10254.0,1,59.522325809995294,97.94632478375324,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3005_0,0.002240492,0.17539324,-0.040153433,0.08335353,0.056464866,0.21742682,-1269.0,8622.0,-273.0,13413.0,672.0,11349.0,-236.0,9410.0,0.05457086,0.22772361,0.023185048,0.14669201,0.09902238,0.25998434,-1386.0,8505.0,795.0,14481.0,99.0,10776.0,-537.0,9109.0,0.08657764,0.2597304,0.032417282,0.15592425,0.12253984,0.2835018,-1101.0,8790.0,2060.0,15746.0,821.0,11498.0,-393.0,9253.0,0.026795737,0.19994849,0.038773198,0.16228016,0.06919119,0.23015314,-1144.0,8747.0,291.0,13977.0,-603.0,10074.0,-327.0,9319.0,0.17315274,0.123506956,0.16096196,9891.0,13686.0,10677.0,9646.0,1,59.468157398362884,101.3538143194754,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3006_0,0.03929178,0.16957521,-0.011348336,0.111479655,7.0257497E-4,0.21310318,369.5,8912.0,589.0,13739.0,710.0,10983.0,-363.5,9755.0,0.13134505,0.26162848,0.035886608,0.15871459,0.103842594,0.3162432,-254.0,8288.5,2805.5,15955.5,1311.5,11584.5,-780.5,9338.0,0.08099912,0.21128255,-0.023465216,0.099362776,0.06535684,0.27775744,-156.0,8386.5,1687.0,14837.0,1882.0,12155.0,-457.5,9661.0,0.1090365,0.23931994,0.042030293,0.16485828,0.05503706,0.26743767,579.0,9121.5,2631.5,15781.5,1041.5,11314.5,-432.0,9686.5,0.13028343,0.12282799,0.2124006,8542.5,13150.0,10273.0,10118.5,1,61.957748376771725,119.84545478001894,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3007_0,0.0013906447,0.314291,0.021114897,0.20562413,-0.008355475,0.37067068,-1495.0,8149.5,-3668.5,17749.5,-3050.5,11695.0,-1948.5,9260.5,-0.0013298375,0.31157053,0.031795327,0.21630457,-0.035739206,0.34328696,-913.5,8731.0,-3559.0,17859.0,-3238.5,11507.0,-1835.0,9374.0,0.0021425544,0.3150429,0.08618023,0.2706895,-0.13085818,0.24816796,1384.5,11029.0,-3108.0,18310.0,-4236.5,10509.0,-1672.0,9537.0,0.020063875,0.33296424,0.04139795,0.22590719,-0.0046683536,0.3743578,-1424.5,8220.0,-3361.0,18057.0,-3343.5,11402.0,-2173.0,9036.0,0.31290036,0.18450925,0.37902614,9644.5,21418.0,14745.5,11209.0,1,53.7944878953924,93.39563921746057,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3008_0,0.25550142,0.20338227,0.18784405,0.09635336,0.2149833,0.2820153,-326.5,7930.5,4717.0,14160.5,326.0,11671.5,-1108.0,9374.0,0.2540656,0.20194647,0.20481974,0.11332904,0.2078067,0.27483872,-389.0,7868.0,4388.5,13832.0,-329.5,11016.0,-1298.0,9184.0,0.14058854,0.08846939,0.11716829,0.025677603,0.12623897,0.19327097,-236.5,8020.5,2420.0,11863.5,-76.0,11269.5,-547.0,9935.0,0.09649035,0.04437121,0.085264266,-0.0062264237,0.06545194,0.13248394,118.0,8375.0,1489.5,10933.0,-275.5,11070.0,-478.0,10004.0,-0.052119143,-0.09149069,0.067032,8257.0,9443.5,11345.5,10482.0,1,64.07085541960608,116.58322282573889,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3009_0,-0.022510411,0.23086466,-0.06042866,0.17821698,-0.024795951,0.26275596,134.0,8109.5,-523.5,13890.0,828.5,9688.0,93.5,8679.5,-0.0010935976,0.2522815,-0.05940074,0.1792449,-0.012887605,0.2746643,262.5,8238.0,63.5,14477.0,1216.5,10076.0,58.0,8644.0,-0.017659508,0.23571557,-0.079928815,0.15871683,-0.019120226,0.2684317,-17.5,7958.0,-615.5,13798.0,1158.5,10018.0,-52.0,8534.0,-0.012145835,0.24122924,-0.0671554,0.17149024,-0.03295097,0.25460094,327.5,8303.0,-438.5,13975.0,1024.0,9883.5,-43.0,8543.0,0.25337508,0.23864564,0.2875519,7975.5,14413.5,8859.5,8586.0,1,57.746625987876236,108.04455638712602,"{""type"":""MultiPoint"",""coordinates"":[]}"
