system:index,0_NBR_delta_lag4,0_NBR_lag4,0_NDMI_delta_lag4,0_NDMI_lag4,0_NDVI_delta_lag4,0_NDVI_lag4,0_SR_B4_delta_lag4,0_SR_B4_lag4,0_SR_B5_delta_lag4,0_SR_B5_lag4,0_SR_B6_delta_lag4,0_SR_B6_lag4,0_SR_B7_delta_lag4,0_SR_B7_lag4,1_NBR_delta_lag3,1_NBR_lag3,1_NDMI_delta_lag3,1_NDMI_lag3,1_NDVI_delta_lag3,1_NDVI_lag3,1_SR_B4_delta_lag3,1_SR_B4_lag3,1_SR_B5_delta_lag3,1_SR_B5_lag3,1_SR_B6_delta_lag3,1_SR_B6_lag3,1_SR_B7_delta_lag3,1_SR_B7_lag3,2_NBR_delta_lag2,2_NBR_lag2,2_NDMI_delta_lag2,2_NDMI_lag2,2_NDVI_delta_lag2,2_NDVI_lag2,2_SR_B4_delta_lag2,2_SR_B4_lag2,2_SR_B5_delta_lag2,2_SR_B5_lag2,2_SR_B6_delta_lag2,2_SR_B6_lag2,2_SR_B7_delta_lag2,2_SR_B7_lag2,3_NBR_delta_lag1,3_NBR_lag1,3_NDMI_delta_lag1,3_NDMI_lag1,3_NDVI_delta_lag1,3_NDVI_lag1,3_SR_B4_delta_lag1,3_SR_B4_lag1,3_SR_B5_delta_lag1,3_SR_B5_lag1,3_SR_B6_delta_lag1,3_SR_B6_lag1,3_SR_B7_delta_lag1,3_SR_B7_lag1,class,latitude,longitude,.geo
1_1000_0,0.106790386,0.31492287,0.12010588,0.18580782,0.094899654,0.35813028,-995.5,8067.5,1531.0,17070.0,-1902.5,11720.5,-1291.5,8893.5,0.10175092,0.30988342,0.12323193,0.18893388,0.086362205,0.34959283,-996.0,8067.0,1200.0,16739.0,-2204.0,11419.0,-1366.0,8819.0,0.117614746,0.32574722,0.13321412,0.19891606,0.10341649,0.36664712,-964.0,8099.0,1937.0,17476.0,-1946.0,11677.0,-1297.0,8888.0,0.10962684,0.3177593,0.12556879,0.19127072,0.100032106,0.36326274,-968.0,8095.0,1792.5,17331.5,-1857.0,11766.0,-1212.0,8973.0,1,-1.3260481066530319,-55.38046352950541,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1001_0,0.009189279,0.34886864,0.0032120093,0.21043548,0.00865602,0.4077972,-138.0,8187.5,77.0,19463.5,-35.0,12696.0,-160.0,9395.5,0.009834535,0.3495139,0.0035779714,0.21080145,0.015582893,0.41472405,-228.5,8097.0,185.5,19572.0,26.0,12757.0,-121.5,9434.0,-0.012159642,0.3275197,-0.016435644,0.19078784,-4.29694E-4,0.39871147,-112.5,8213.0,-281.5,19105.0,252.0,12983.0,122.5,9678.0,-0.0028482624,0.3368311,-0.007792742,0.19943073,-0.0023429438,0.39679822,-45.5,8280.0,-213.0,19173.5,66.5,12797.5,-44.0,9511.5,1,-8.221606059082891,-54.742569846252145,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1002_0,0.060314633,0.33382723,0.09266017,0.19086614,0.03660508,0.3951,-157.0,8197.0,1214.0,18905.0,-1682.0,12845.0,-650.0,9442.0,0.055665035,0.32917762,0.09579027,0.19399624,0.05119784,0.40969276,-251.0,8103.0,1659.5,19350.5,-1464.5,13062.5,-326.0,9766.0,0.058308534,0.3318211,0.09650684,0.19471282,0.02897867,0.38747358,-383.5,7970.5,363.5,18054.5,-2357.5,12169.5,-1034.0,9058.0,0.061577357,0.33508995,0.101011425,0.1992174,0.04033455,0.39882946,-188.0,8166.0,1310.0,19001.0,-1839.0,12688.0,-629.0,9463.0,1,-3.092315618288835,-53.82574926727976,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1003_0,0.13945554,0.36796197,0.1342234,0.22450167,0.21032628,0.42349654,-4334.5,8098.0,826.5,19995.5,-3331.0,12663.5,-2799.5,9238.5,0.13625462,0.36476105,0.12611972,0.21639799,0.20205766,0.41522792,-4193.5,8239.0,770.5,19939.5,-3149.5,12845.0,-2757.0,9281.0,0.1326748,0.36118123,0.13062814,0.22090642,0.19558626,0.40875652,-4114.0,8318.5,651.5,19820.5,-3346.5,12648.0,-2736.0,9302.0,0.14215297,0.3706594,0.1420134,0.23229167,0.20714825,0.4203185,-4224.5,8208.0,942.0,20111.0,-3465.5,12529.0,-2804.0,9234.0,1,-5.8821235646504215,-56.491320209847615,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1004_0,0.16291565,0.351202,0.15270606,0.22072028,0.12829743,0.39836612,-1221.5,8101.0,2608.0,18829.0,-2135.0,12020.0,-2039.5,9041.0,0.15570898,0.34399533,0.14201578,0.21003,0.11565041,0.38571912,-1145.5,8177.0,2225.0,18446.0,-2112.5,12042.5,-2077.0,9003.5,0.15543854,0.3437249,0.1379616,0.20597582,0.11914517,0.38921386,-1230.5,8092.0,2184.0,18405.0,-2037.0,12118.0,-2091.5,8989.0,0.1576828,0.34596917,0.14161557,0.2096298,0.12699342,0.39706212,-1277.5,8045.0,2420.0,18641.0,-1975.0,12180.0,-2022.5,9058.0,1,-6.768221760905917,-59.623925268629215,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1005_0,0.04936142,0.31452194,0.04550421,0.19036989,0.042905454,0.36038935,-120.0,8148.0,1370.0,17330.0,-134.0,11787.0,-233.0,9037.0,0.043919127,0.30907965,0.038577866,0.18344355,0.033584602,0.3510685,-145.0,8123.0,952.0,16912.0,-252.0,11669.0,-344.0,8926.0,0.05135709,0.31651762,0.05024635,0.19511203,0.041717317,0.35920122,43.0,8311.0,1668.5,17628.5,-48.5,11872.5,-118.0,9152.0,0.04479825,0.3099588,0.042124517,0.1869902,0.03768298,0.35516688,-28.0,8240.0,1357.0,17317.0,-60.0,11861.0,-148.0,9122.0,1,-12.290974296144324,-53.049065872630024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1006_0,0.010356404,0.30316916,0.021246592,0.20547462,-0.010574866,0.34815925,54.5,8251.0,-302.0,17065.0,-716.0,11247.5,-375.0,9125.0,0.0042984546,0.2971112,0.0029935362,0.18722156,-0.007955265,0.35077888,-319.5,7877.0,-978.0,16389.0,-743.5,11220.0,-619.0,8881.0,0.019912774,0.3127255,0.0026112369,0.18683925,0.00987115,0.3686053,-350.0,7846.5,-359.0,17008.0,-310.5,11653.0,-595.5,8904.5,4.197398E-4,0.29323247,-0.017639162,0.16658886,-0.012610568,0.34612358,-306.5,7890.0,-1124.0,16243.0,-359.5,11604.0,-623.0,8877.0,1,-12.474769603275178,-71.4614749251142,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1007_0,0.2302758,0.33278134,0.23468012,0.19564655,0.17657094,0.37874272,-3194.0,8341.0,1130.0,18511.0,-6340.0,12453.0,-4882.0,9267.0,0.22611092,0.32861647,0.2375124,0.19847883,0.16751829,0.3696901,-3196.0,8339.0,740.0,18121.0,-6674.0,12119.0,-4992.0,9157.0,0.21710074,0.3196063,0.22753978,0.18850622,0.16257077,0.36474258,-3391.0,8144.0,115.0,17496.0,-6847.0,11946.0,-5128.0,9021.0,0.19890605,0.3014116,0.18850571,0.14947215,0.15753134,0.35970315,-3036.5,8498.5,666.0,18047.0,-5439.5,13353.5,-4461.5,9687.5,1,-6.91833024488229,-63.049201446976944,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1008_0,0.23628645,0.3297809,0.21153758,0.19181827,0.15714803,0.38990876,-1869.5,8325.0,2586.0,18966.0,-4178.0,12861.0,-4020.0,9559.0,0.24577999,0.33927444,0.21644628,0.19672696,0.16594213,0.39870286,-1989.5,8205.0,2706.0,19086.0,-4228.0,12811.0,-4163.0,9416.0,0.1932023,0.28669673,0.16990441,0.1501851,0.11081674,0.34357747,-1693.5,8501.0,1020.0,17400.0,-4183.0,12856.0,-3933.0,9646.0,0.20169851,0.29519296,0.17977726,0.16005795,0.11923581,0.35199654,-1942.5,8252.0,837.0,17217.0,-4573.0,12466.0,-4210.0,9369.0,1,-6.77981002807106,-50.483746915769906,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1009_0,0.062290315,0.31807637,0.05209121,0.179679,0.044342875,0.38316783,-807.5,7981.5,100.5,17897.5,-1324.0,12445.5,-1287.5,9259.5,0.09812685,0.35391292,0.08149244,0.20908023,0.07827234,0.4170973,-639.0,8150.0,2016.5,19813.5,-808.5,12961.0,-1092.0,9455.0,0.060661804,0.31644785,0.049942423,0.17753021,0.044021923,0.38284686,-722.5,8066.5,277.5,18074.5,-1145.0,12624.5,-1162.0,9385.0,0.07299527,0.32878134,0.058701426,0.18628922,0.055503212,0.39432815,-716.0,8073.0,788.0,18585.0,-1021.5,12748.0,-1159.0,9388.0,1,-5.36253800431569,-50.92949095975001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1010_0,0.18934408,0.37324902,0.20236944,0.23286834,0.14505035,0.42514378,-1716.0,8146.0,2659.0,20195.0,-3932.0,12566.0,-2871.0,9217.0,0.17442517,0.3583301,0.18840876,0.21890767,0.120464556,0.400558,-1590.0,8272.0,1791.0,19327.0,-4113.0,12385.0,-2958.0,9130.0,0.1703612,0.35426614,0.18543771,0.21593663,0.12416875,0.40426219,-1559.5,8302.5,2034.5,19570.5,-3878.5,12619.5,-2756.5,9331.5,0.17950083,0.36340576,0.18760607,0.21810497,0.13150427,0.4115977,-1572.0,8290.0,2352.0,19888.0,-3732.0,12766.0,-2802.0,9286.0,1,-3.10956327174393,-59.400514257468686,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1011_0,0.10817073,0.39569294,0.11766571,0.2600191,0.07723624,0.44425458,-420.0,8130.0,2663.0,21128.0,-1455.0,12408.0,-1070.0,9148.0,0.082247615,0.36976984,0.09213579,0.23448916,0.05228829,0.4193066,-393.0,8157.0,1472.0,19937.0,-1500.0,12363.0,-1045.0,9173.0,0.093814686,0.38133693,0.09463965,0.23699303,0.07062232,0.43764064,-303.0,8247.0,2618.0,21083.0,-858.5,13004.5,-775.5,9442.5,0.058881626,0.34640384,0.06877178,0.21112517,0.030043181,0.3970615,-281.0,8269.0,695.0,19160.0,-1383.0,12480.0,-917.0,9301.0,1,-12.510073393941076,-60.08125757977446,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1012_0,0.09404519,0.3432295,0.086981624,0.21081252,0.06539014,0.38578504,-1587.5,8462.5,-433.0,19093.0,-2778.5,12444.5,-2400.5,9335.5,0.09076084,0.33994517,0.07715856,0.20098947,0.06598338,0.3863783,-1723.0,8327.0,-712.5,18813.5,-2706.5,12516.5,-2468.5,9267.5,0.09762915,0.34681347,0.08456575,0.20839666,0.066400625,0.38679555,-1612.0,8438.0,-443.0,19083.0,-2722.0,12501.0,-2481.0,9255.0,0.096828625,0.34601295,0.083970904,0.2078018,0.07328158,0.3936765,-1698.5,8351.5,-329.5,19196.5,-2632.0,12591.0,-2409.0,9327.0,1,-6.892997753870119,-56.412627790958744,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1013_0,0.28086373,0.3262748,0.2035491,0.20561866,0.17134921,0.36660638,-1887.5,8055.5,2612.5,17380.5,-3255.0,11452.0,-4656.0,8829.0,0.27777296,0.32318407,0.19826035,0.2003299,0.16608502,0.3613422,-1920.5,8022.5,2332.5,17100.5,-3314.5,11392.5,-4738.0,8747.0,0.2963174,0.3417285,0.21042113,0.2124907,0.1858091,0.38106626,-1921.0,8022.0,3132.0,17900.0,-3081.0,11626.0,-4703.0,8782.0,0.29077843,0.33618954,0.20818034,0.21024989,0.17913024,0.3743874,-1709.0,8234.0,3321.0,18089.0,-2903.0,11804.0,-4498.5,8986.5,1,-6.2685787998786395,-62.48380180715212,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1014_0,0.08331901,0.38310495,0.09803835,0.23851661,0.04819467,0.4409369,-479.0,8390.0,1283.5,21624.5,-2034.5,13295.5,-1313.0,9645.0,0.09266643,0.39245236,0.10423026,0.24470852,0.07203835,0.46478057,-564.0,8305.0,2388.0,22729.0,-1538.0,13792.0,-1041.0,9917.0,0.022787632,0.32257357,0.027904907,0.16838317,0.016198462,0.40894067,-17.0,8852.0,760.0,21101.0,-311.0,15019.0,-150.0,10808.0,0.08915535,0.3889413,0.102622576,0.24310084,0.049780507,0.4425227,-617.5,8251.5,1010.5,21351.5,-2329.5,13000.5,-1564.5,9393.5,1,-5.78402753562457,-74.61617853988514,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1015_0,-0.012456951,0.36842105,-0.0012428078,0.22745197,-0.011809317,0.41786313,-300.5,7987.5,-1321.5,19454.5,-797.5,12244.5,-336.0,8979.0,-0.001871482,0.37900653,0.018724345,0.24741912,-8.032069E-4,0.42886925,-343.0,7945.0,-899.0,19877.0,-1050.0,11992.0,-364.0,8951.0,-0.019777779,0.36110023,-0.0050560846,0.2236387,-0.01984848,0.40982395,-292.0,7996.0,-1675.0,19101.0,-923.0,12119.0,-349.0,8966.0,0.014037166,0.39491516,0.028338335,0.2570331,0.013988918,0.44366136,-216.5,8071.5,169.0,20945.0,-662.5,12379.5,-229.5,9085.5,1,-7.999812015433782,-74.93579911797487,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1016_0,3.6429524E-4,0.35290867,-0.01462511,0.1935433,-0.018831797,0.42621237,-828.0,8374.0,-3146.5,20814.5,-1640.0,14064.0,-1514.5,9955.5,-0.0011894536,0.35135493,-0.020797418,0.18737099,-0.033730723,0.41131344,-684.0,8518.0,-3540.0,20421.0,-1728.0,13976.0,-1668.0,9802.0,0.01650978,0.36905417,0.003392614,0.21156102,-0.010684315,0.43435985,-854.0,8348.0,-2792.0,21169.0,-1928.0,13776.0,-1714.0,9756.0,0.009138952,0.36168334,-0.0018635645,0.20630485,-0.018653773,0.4263904,-523.0,8679.0,-2379.0,21582.0,-1504.0,14200.0,-1353.0,10117.0,1,2.8513874590879795,-60.13003609970215,"{""type"":""MultiPoint"",""coordinates"":[]}"
