system:index,0_NBR_delta_lag4,0_NBR_lag4,0_NDMI_delta_lag4,0_NDMI_lag4,0_NDVI_delta_lag4,0_NDVI_lag4,0_SR_B4_delta_lag4,0_SR_B4_lag4,0_SR_B5_delta_lag4,0_SR_B5_lag4,0_SR_B6_delta_lag4,0_SR_B6_lag4,0_SR_B7_delta_lag4,0_SR_B7_lag4,1_NBR_delta_lag3,1_NBR_lag3,1_NDMI_delta_lag3,1_NDMI_lag3,1_NDVI_delta_lag3,1_NDVI_lag3,1_SR_B4_delta_lag3,1_SR_B4_lag3,1_SR_B5_delta_lag3,1_SR_B5_lag3,1_SR_B6_delta_lag3,1_SR_B6_lag3,1_SR_B7_delta_lag3,1_SR_B7_lag3,2_NBR_delta_lag2,2_NBR_lag2,2_NDMI_delta_lag2,2_NDMI_lag2,2_NDVI_delta_lag2,2_NDVI_lag2,2_SR_B4_delta_lag2,2_SR_B4_lag2,2_SR_B5_delta_lag2,2_SR_B5_lag2,2_SR_B6_delta_lag2,2_SR_B6_lag2,2_SR_B7_delta_lag2,2_SR_B7_lag2,3_NBR_delta_lag1,3_NBR_lag1,3_NDMI_delta_lag1,3_NDMI_lag1,3_NDVI_delta_lag1,3_NDVI_lag1,3_SR_B4_delta_lag1,3_SR_B4_lag1,3_SR_B5_delta_lag1,3_SR_B5_lag1,3_SR_B6_delta_lag1,3_SR_B6_lag1,3_SR_B7_delta_lag1,3_SR_B7_lag1,class,latitude,longitude,.geo
1_1000_0,-0.0017379316,0.34548718,0.006245581,0.21145147,-0.008426688,0.39531076,-156.0,8124.0,-747.0,18746.0,-653.0,12202.0,-326.0,9119.0,-0.0014498691,0.34577525,0.006300144,0.21150602,-0.00282494,0.4009125,-139.0,8141.0,-456.0,19037.0,-465.0,12390.0,-190.5,9254.5,0.013296637,0.36052173,0.01899329,0.22419918,0.012523397,0.41626084,-219.0,8061.0,64.5,19557.5,-461.0,12394.0,-252.5,9192.5,0.0,0.3472251,0.0,0.20520589,0.0,0.40373746,0.0,8280.0,0.0,19493.0,0.0,12855.0,0.0,9445.0,1,-7.549756058089901,-55.674482121997734,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1001_0,0.019718353,0.3570787,0.011354297,0.21229516,0.023555886,0.4141916,-86.0,8136.0,877.5,19641.0,277.5,12762.0,8.0,9305.0,0.0016469437,0.3390073,-0.0052764984,0.19566436,0.006409197,0.3970449,62.0,8284.0,430.5,19194.0,427.5,12912.0,178.0,9475.0,-0.007946036,0.3294143,-0.006139875,0.19480099,-0.0027592056,0.3878765,-93.0,8129.0,-332.5,18431.0,-63.5,12421.0,0.0,9297.0,0.0,0.33736035,0.0,0.20094086,0.0,0.3906357,0.0,8222.0,0.0,18763.5,0.0,12484.5,0.0,9297.0,1,-10.60016526837456,-57.952789345581664,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1002_0,0.014659674,0.34914964,0.010477548,0.20808804,0.003961178,0.39176586,-62.0,8251.0,35.0,18880.0,-250.0,12376.0,-290.0,9108.0,-0.008064537,0.32642543,-0.0075312923,0.19007921,-0.011782497,0.3760222,118.5,8431.5,-251.5,18593.5,28.0,12654.0,44.0,9442.0,-9.929435E-4,0.33349702,-0.002263855,0.19534664,8.7923335E-4,0.38868394,55.0,8368.0,164.0,19009.0,170.0,12796.0,103.0,9501.0,0.0,0.33448997,0.0,0.1976105,0.0,0.3878047,0.0,8313.0,0.0,18845.0,0.0,12626.0,0.0,9398.0,1,-7.864256239060146,-61.16732075827496,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1003_0,0.015775342,0.34322158,0.024670282,0.2111093,0.016304353,0.39682123,-135.5,8026.5,398.5,18587.5,-365.0,12107.5,-127.0,9088.5,0.010555808,0.33800203,0.008675685,0.1951147,0.019702991,0.40021986,22.0,8184.0,917.0,19106.0,395.0,12867.5,237.5,9453.0,0.025034657,0.3524809,0.02900323,0.21544226,0.021622011,0.4021389,0.0,8162.0,953.0,19142.0,-116.5,12356.0,-51.0,9164.5,0.0,0.32744622,0.0,0.18643902,0.0,0.38051686,0.0,8162.0,0.0,18189.0,0.0,12472.5,0.0,9215.5,1,-9.014189634261545,-62.43367581429825,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1004_0,-0.06869057,0.28030428,-0.055076607,0.13757686,-0.06217601,0.34598655,-65.0,8382.0,-2847.5,17250.5,-527.0,13078.0,-2.0,9697.0,-0.030010197,0.31898466,-0.00971589,0.18293758,-0.03147105,0.3766915,-248.0,8199.0,-1989.0,18109.0,-1097.0,12508.0,-349.0,9350.0,-0.017382132,0.33161274,-0.014964136,0.17768934,-0.0029949525,0.4051676,71.0,8518.0,24.0,20122.0,445.0,14050.0,401.0,10100.0,0.0,0.34899485,0.0,0.19265348,0.0,0.40816256,0.0,8447.0,0.0,20098.0,0.0,13605.0,0.0,9699.0,1,2.121326627684044,-61.3276700364903,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1005_0,-0.027527813,0.37046137,-0.02295651,0.23315062,-0.021879567,0.4211263,-282.0,8064.0,-1825.0,19797.0,-494.0,12311.0,-217.0,9094.0,-0.054899294,0.3430899,-0.020768138,0.23533899,-0.05530426,0.3877016,765.0,9111.0,-973.0,20649.0,-23.5,12781.5,788.5,10099.5,-0.012559197,0.38543,-0.007487307,0.24861982,-0.015941849,0.42706403,-310.0,8036.0,-1606.0,20016.0,-760.0,12045.0,-432.0,8879.0,0.0,0.3979892,0.0,0.25610712,0.0,0.44300586,0.0,8346.0,0.0,21622.0,0.0,12805.0,0.0,9311.0,1,-12.667997220889287,-71.27983557466524,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1006_0,-0.0085737035,0.40169388,-0.011561234,0.25555792,-0.0042901495,0.45880207,-140.5,8166.0,-624.0,22011.5,-41.0,13051.0,-70.0,9395.5,-0.021793017,0.38847458,-0.016122919,0.25099626,-0.022770736,0.4403215,49.5,8356.0,-1131.5,21504.0,-217.0,12875.0,5.5,9471.0,-0.0054470045,0.4048206,-0.0065131052,0.26060605,-0.008161025,0.4549312,-85.5,8221.0,-691.5,21944.0,-221.0,12871.0,-168.5,9297.0,0.0,0.4102676,0.0,0.26711917,0.0,0.46309224,0.0,8306.5,0.0,22635.5,0.0,13092.0,0.0,9465.5,1,-14.212740183461216,-62.34716805243754,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1007_0,-0.01558067,0.29459485,-0.014339501,0.12672666,0.007495004,0.39927262,-343.5,9043.5,-415.0,21065.0,157.5,16326.5,168.5,11478.0,-0.016384825,0.2937907,-0.009607361,0.1314588,0.006506504,0.39828414,-322.0,9065.0,-414.5,21065.5,1.5,16170.5,189.0,11498.5,0.01291856,0.32309407,4.475548E-4,0.14151372,0.029977273,0.4217549,-698.0,8689.0,-116.0,21364.0,-102.0,16067.0,-379.5,10930.0,0.0,0.3101755,0.0,0.14106616,0.0,0.39177763,0.0,9387.0,0.0,21480.0,0.0,16169.0,0.0,11309.5,1,-4.98659305791167,-50.99066623059855,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1008_0,0.021596767,0.35624734,0.024462763,0.2122462,0.021841075,0.4212014,-123.5,8139.5,735.0,19986.0,-176.5,12987.5,-110.5,9486.5,0.0045620054,0.3392126,0.0026524786,0.19043592,0.002500189,0.4018605,144.0,8407.0,452.5,19703.5,235.5,13399.5,125.0,9722.0,0.0016225138,0.3362731,1.609388E-4,0.18794437,0.0010367857,0.40039712,268.0,8531.0,673.5,19924.5,456.0,13620.0,299.5,9896.5,0.0,0.33465058,0.0,0.18778343,0.0,0.39936033,0.0,8263.0,0.0,19251.0,0.0,13164.0,0.0,9597.0,1,-10.66457447424593,-62.63040686152043,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1009_0,-0.009002845,0.36242282,-0.021984749,0.21379183,-0.009698308,0.41600344,-3.0,8145.0,-478.5,19749.0,283.0,12792.0,-29.0,9242.0,0.0106649995,0.38209066,0.019114515,0.2548911,0.0031400898,0.42884183,-1.0,8147.0,153.5,20381.0,-407.5,12101.5,-159.0,9112.0,-0.03162124,0.3398044,-0.028532464,0.20724411,-0.03250825,0.3931935,-62.0,8086.0,-1662.5,18565.0,-318.0,12191.0,-123.0,9148.0,0.0,0.37142566,0.0,0.23577657,0.0,0.42570174,0.0,8148.0,0.0,20227.5,0.0,12509.0,0.0,9271.0,1,-15.227387296874216,-66.54023430412224,"{""type"":""MultiPoint"",""coordinates"":[]}"
