system:index,0_NBR_delta_lag4,0_NBR_lag4,0_NDMI_delta_lag4,0_NDMI_lag4,0_NDVI_delta_lag4,0_NDVI_lag4,0_SR_B4_delta_lag4,0_SR_B4_lag4,0_SR_B5_delta_lag4,0_SR_B5_lag4,0_SR_B6_delta_lag4,0_SR_B6_lag4,0_SR_B7_delta_lag4,0_SR_B7_lag4,1_NBR_delta_lag3,1_NBR_lag3,1_NDMI_delta_lag3,1_NDMI_lag3,1_NDVI_delta_lag3,1_NDVI_lag3,1_SR_B4_delta_lag3,1_SR_B4_lag3,1_SR_B5_delta_lag3,1_SR_B5_lag3,1_SR_B6_delta_lag3,1_SR_B6_lag3,1_SR_B7_delta_lag3,1_SR_B7_lag3,2_NBR_delta_lag2,2_NBR_lag2,2_NDMI_delta_lag2,2_NDMI_lag2,2_NDVI_delta_lag2,2_NDVI_lag2,2_SR_B4_delta_lag2,2_SR_B4_lag2,2_SR_B5_delta_lag2,2_SR_B5_lag2,2_SR_B6_delta_lag2,2_SR_B6_lag2,2_SR_B7_delta_lag2,2_SR_B7_lag2,3_NBR_delta_lag1,3_NBR_lag1,3_NDMI_delta_lag1,3_NDMI_lag1,3_NDVI_delta_lag1,3_NDVI_lag1,3_SR_B4_delta_lag1,3_SR_B4_lag1,3_SR_B5_delta_lag1,3_SR_B5_lag1,3_SR_B6_delta_lag1,3_SR_B6_lag1,3_SR_B7_delta_lag1,3_SR_B7_lag1,class,latitude,longitude,.geo
1_1000_0,0.049606815,0.18315347,0.13627441,0.15139337,-0.13313077,0.083333336,4177.0,12848.0,1722.0,15184.0,-1870.0,11191.0,193.0,10483.0,0.054382235,0.18792889,0.09823338,0.113352336,0.04002599,0.25649008,343.5,9014.5,1772.0,15234.0,-929.0,12132.0,124.0,10414.0,0.084937595,0.21848424,0.10684467,0.12196363,0.014234609,0.23069872,979.5,9650.5,1976.5,15438.5,-979.0,12082.0,-388.0,9902.0,0.0,0.13354665,0.0,0.015118954,0.0,0.2164641,0.0,8671.0,0.0,13462.0,0.0,13061.0,0.0,10290.0,1,63.46664855950729,112.71867047345671,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1001_0,0.010471192,0.19686148,-0.0099279955,0.0919372,0.028456809,0.2567446,-596.5,8051.5,-150.5,13614.0,102.0,11321.5,-304.0,9135.5,-0.010700017,0.17569026,0.012466186,0.11433138,-0.012580541,0.21570724,-214.5,8433.5,-692.0,13072.5,-829.5,10390.0,-274.0,9165.5,0.01574483,0.2021351,0.0650917,0.16695689,0.028274914,0.2565627,-520.0,8128.0,-26.5,13738.0,-1412.5,9807.0,-321.5,9118.0,0.0,0.18639028,0.0,0.101865195,0.0,0.22828779,0.0,8648.0,0.0,13764.5,0.0,11219.5,0.0,9439.5,1,61.891722203388944,118.60982210671253,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1002_0,0.023968495,0.1888497,0.028383788,0.12630157,0.015484595,0.2107555,-215.5,8020.5,71.0,12304.0,-506.5,9544.5,-375.0,8395.0,0.036266867,0.20114808,0.06662762,0.16454542,0.024297228,0.21956812,-68.0,8168.0,531.0,12764.0,-894.0,9157.0,-281.0,8489.0,-0.0064934995,0.1583877,0.030658035,0.12857582,-0.015401673,0.17986922,-585.0,7651.0,-1226.0,11007.0,-1552.0,8499.0,-773.0,7997.0,0.0,0.16488121,0.0,0.09791779,0.0,0.1952709,0.0,8236.0,0.0,12233.0,0.0,10051.0,0.0,8770.0,1,59.68644801240393,112.72783328935473,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1003_0,0.0072350344,0.232811,0.03952051,0.18364997,-0.028686225,0.2580053,727.0,9095.0,325.5,15420.0,-656.5,10635.0,58.0,9596.0,0.022757268,0.24833323,0.016612254,0.16074172,0.017452622,0.30414414,99.0,8467.0,774.0,15868.5,182.0,11473.5,17.0,9555.0,0.023956036,0.249532,-0.0028314416,0.14129803,0.016132392,0.30282393,26.0,8394.0,591.5,15686.0,510.5,11802.0,-117.0,9421.0,0.0,0.22557597,0.0,0.14412947,0.0,0.28669152,0.0,8368.0,0.0,15094.5,0.0,11291.5,0.0,9538.0,1,59.663001983488414,108.21406848123937,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1004_0,-0.026431577,0.1563547,0.010255911,0.08607161,-0.043387122,0.21061978,465.5,8890.0,-527.5,13634.0,-692.5,11473.0,162.5,9947.0,-0.009632716,0.17315355,-0.005062562,0.07075314,-0.021409823,0.23259708,53.0,8477.5,-545.0,13616.5,-348.5,11817.0,-187.5,9597.0,0.046586532,0.2293728,0.05575136,0.13156706,0.041860007,0.2958669,-255.5,8169.0,872.5,15034.0,-627.5,11538.0,-360.5,9424.0,0.0,0.18278627,0.0,0.0758157,0.0,0.2540069,0.0,8424.5,0.0,14161.5,0.0,12165.5,0.0,9784.5,1,63.064293143750156,117.0613062199473,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1005_0,0.01388324,0.2582482,0.03416363,0.2175998,-0.0054417048,0.26772654,-181.0,8360.0,-488.0,14473.0,-1023.0,9300.0,-553.0,8532.0,0.025357569,0.26972255,0.07704953,0.2604857,0.010172418,0.28334066,-389.0,8152.0,-363.0,14598.0,-1758.5,8564.5,-689.0,8396.0,-0.0050966144,0.23926835,-0.047794957,0.1356412,-0.010438946,0.2627293,241.0,8782.0,80.0,15041.0,1125.0,11448.0,148.0,9233.0,0.0,0.24436496,0.0,0.18343617,0.0,0.27316824,0.0,8541.0,0.0,14961.0,0.0,10323.0,0.0,9085.0,1,56.46733519176163,104.44006630959643,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1006_0,0.03246483,0.24754718,0.040002014,0.14751956,0.03445547,0.31232834,-138.0,8512.0,937.0,16244.0,-267.5,12067.5,-90.5,9797.5,0.020857312,0.23593967,0.010198195,0.11771574,0.008417303,0.28629017,114.0,8764.0,488.0,15795.0,133.0,12468.0,-123.5,9764.5,0.03477442,0.24985677,0.022918738,0.13043629,0.025989925,0.30386278,86.0,8736.0,1055.5,16362.5,251.5,12586.5,-67.5,9820.5,0.0,0.21508236,0.0,0.10751755,0.0,0.27787286,0.0,8650.0,0.0,15307.0,0.0,12335.0,0.0,9888.0,1,63.00931624836204,119.21968835310128,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1007_0,0.07013022,0.19015491,0.081846334,0.08930014,0.089326635,0.26517114,-683.0,8222.0,1451.0,14156.0,-682.0,11835.0,-349.5,9632.5,0.029159259,0.14918394,0.03973648,0.04719029,0.044961482,0.220806,-591.0,8314.0,321.0,13026.0,-665.0,11852.0,-338.0,9644.0,0.025151376,0.14517605,0.07874662,0.08620043,0.06783853,0.24368304,-539.0,8366.0,1052.0,13757.0,-943.5,11573.5,287.0,10269.0,0.0,0.12002468,0.0,0.00745381,0.0,0.17584452,0.0,8905.0,0.0,12705.0,0.0,12517.0,0.0,9982.0,1,65.52127527734545,118.16030513853913,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1008_0,0.016322486,0.2552501,0.00888514,0.13037047,0.018950488,0.31705716,-186.0,8322.0,314.0,16049.0,21.0,12347.0,-144.0,9522.0,0.026335314,0.2652629,0.024574637,0.14605998,0.025148628,0.3232553,-103.0,8405.0,699.5,16434.5,-80.5,12245.5,-122.5,9543.5,0.010936137,0.24986374,0.02340964,0.14489497,0.019034546,0.3171412,-186.0,8322.0,317.0,16052.0,-337.0,11989.0,-32.0,9634.0,0.0,0.2389276,0.0,0.12148534,0.0,0.29810667,0.0,8508.0,0.0,15735.0,0.0,12326.0,0.0,9666.0,1,63.11495812577449,118.90437968837533,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1009_0,0.03651769,0.20562463,0.04435396,0.10373134,-0.03401369,0.20801258,1010.5,9696.5,557.0,14790.0,-627.5,12010.0,-370.5,9745.0,0.0132999355,0.18240686,0.016739106,0.07611649,-0.0048947223,0.23713155,-16.0,8670.0,-173.0,14060.0,-566.5,12071.0,-393.5,9722.0,-0.052631572,0.11647535,-0.025576439,0.033800945,-0.019531926,0.22249433,-273.0,8413.0,-1005.0,13228.0,-274.5,12363.0,352.5,10468.0,0.0,0.16910693,0.0,0.059377383,0.0,0.24202627,0.0,8686.0,0.0,14233.0,0.0,12637.5,0.0,10115.5,1,65.4539016310365,118.4381540559173,"{""type"":""MultiPoint"",""coordinates"":[]}"
