system:index,0_NBR_delta_lag4,0_NBR_lag4,0_NDMI_delta_lag4,0_NDMI_lag4,0_NDVI_delta_lag4,0_NDVI_lag4,0_SR_B4_delta_lag4,0_SR_B4_lag4,0_SR_B5_delta_lag4,0_SR_B5_lag4,0_SR_B6_delta_lag4,0_SR_B6_lag4,0_SR_B7_delta_lag4,0_SR_B7_lag4,1_NBR_delta_lag3,1_NBR_lag3,1_NDMI_delta_lag3,1_NDMI_lag3,1_NDVI_delta_lag3,1_NDVI_lag3,1_SR_B4_delta_lag3,1_SR_B4_lag3,1_SR_B5_delta_lag3,1_SR_B5_lag3,1_SR_B6_delta_lag3,1_SR_B6_lag3,1_SR_B7_delta_lag3,1_SR_B7_lag3,2_NBR_delta_lag2,2_NBR_lag2,2_NDMI_delta_lag2,2_NDMI_lag2,2_NDVI_delta_lag2,2_NDVI_lag2,2_SR_B4_delta_lag2,2_SR_B4_lag2,2_SR_B5_delta_lag2,2_SR_B5_lag2,2_SR_B6_delta_lag2,2_SR_B6_lag2,2_SR_B7_delta_lag2,2_SR_B7_lag2,3_NBR_lag1,3_NDMI_lag1,3_NDVI_lag1,3_SR_B4_lag1,3_SR_B5_lag1,3_SR_B6_lag1,3_SR_B7_lag1,class,latitude,longitude,.geo
1_3000_0,-0.009171979,0.35779816,0.0034766456,0.22199287,-0.001488728,0.41724402,-225.5,8033.0,-621.0,19536.0,-489.5,12438.0,-94.5,9240.0,-0.0054157153,0.3615544,0.0016966397,0.22021286,0.006856036,0.42558876,-197.5,8061.0,-151.0,20006.0,-142.5,12785.0,46.5,9381.0,0.012631711,0.37960187,0.013470626,0.23198685,0.016444571,0.4351773,-294.5,7964.0,79.0,20236.0,-312.5,12615.0,-234.5,9100.0,0.36697015,0.21851623,0.41873273,8258.5,20157.0,12927.5,9334.5,1,-12.583106426539992,-66.92372509891285,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3001_0,0.012738604,0.33005017,0.007387461,0.20406568,0.022324441,0.39337003,-5.0,7878.0,911.0,18095.0,426.0,11961.5,209.0,9114.5,-9.4264244E-5,0.3172173,0.005282569,0.20196079,-0.0015410897,0.3695045,19.0,7902.0,-20.0,17164.0,-139.5,11396.0,-8.5,8897.0,0.03801768,0.35532925,0.014404154,0.21108237,0.045444887,0.4164905,121.0,8004.0,2246.0,19430.0,1121.5,12657.0,336.5,9242.0,0.31731156,0.19667822,0.3710456,7883.0,17184.0,11535.5,8905.5,1,-3.9751798795215008,-50.40316803478438,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3002_0,-6.4366957E-4,0.3215376,0.0012253282,0.18076645,-5.4751866E-4,0.37321305,20.0,8199.0,21.0,17963.0,-17.0,12463.0,24.0,9222.0,-0.00795247,0.3142288,0.003133953,0.18267508,-0.006954546,0.36680603,75.0,8254.0,-125.0,17817.0,-167.0,12313.0,99.0,9297.0,-0.0010077849,0.3211735,-0.007915813,0.1716253,5.155595E-4,0.37427613,33.0,8212.0,94.0,18036.0,272.0,12752.0,69.0,9267.0,0.32218128,0.17954113,0.37376058,8179.0,17942.0,12480.0,9198.0,1,-10.634391080699514,-64.28618159320953,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3003_0,0.0011811242,0.34530395,0.015698059,0.21200232,3.81545E-5,0.38587135,87.0,8350.0,198.0,18843.0,-275.0,12251.0,72.0,9170.0,0.004027625,0.34815046,7.1246584E-4,0.19701672,0.015899066,0.40173227,8.5,8271.5,735.0,19380.0,474.5,13000.5,272.5,9370.5,-0.002634712,0.34148812,0.016019134,0.2123234,-1.13583286E-4,0.38571963,-47.0,8216.0,-111.0,18534.0,-484.0,12042.0,0.0,9098.0,0.34412283,0.19630426,0.3858332,8263.0,18645.0,12526.0,9098.0,1,-4.285368147127972,-59.687795485330106,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3004_0,0.016033087,0.34794956,0.02086564,0.22011364,0.014819599,0.3902239,60.0,8171.0,768.0,18629.0,-18.5,11907.5,52.5,9011.5,0.005773677,0.33769014,0.005788801,0.20503679,0.012787573,0.38819185,8.0,8119.0,561.0,18422.0,227.0,12153.0,162.0,9121.0,-0.010979233,0.32093725,-0.0045840777,0.19466391,-0.005983724,0.36942056,157.0,8268.0,94.5,17955.5,178.0,12104.0,271.5,9230.5,0.33191648,0.199248,0.37540427,8111.0,17861.0,11926.0,8959.0,1,-10.835434041285463,-69.35914766568929,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3005_0,0.017181803,0.34326717,0.020187998,0.20660314,0.018052803,0.39155042,15.5,8277.5,818.0,18931.0,27.0,12448.0,50.5,9255.5,-0.010322605,0.31576276,-0.005235179,0.18117997,-0.009077965,0.36441967,-111.0,8151.0,-615.0,17498.0,-291.0,12130.0,-105.5,9099.5,-0.01799406,0.3080913,-0.013823073,0.17259207,-0.01488083,0.3586168,-17.5,8244.5,-649.0,17464.0,-98.0,12323.0,32.5,9237.5,0.32608536,0.18641515,0.37349764,8262.0,18113.0,12421.0,9205.0,1,-7.590988729630987,-64.53654206289364,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3006_0,0.0048156795,0.36242157,0.007312004,0.22136126,0.0022892284,0.41955006,26.5,8056.5,173.5,19703.0,-82.0,12561.0,-20.5,9220.5,0.0011034359,0.3587093,0.0024720111,0.21652128,-0.006656286,0.41060454,98.5,8128.5,-75.5,19454.0,-114.0,12529.0,-59.0,9182.0,0.009125721,0.3667316,0.011601591,0.22565086,-0.0012684086,0.41599244,144.5,8174.5,290.5,19820.0,-121.0,12522.0,-57.5,9183.5,0.35760587,0.21404926,0.41726083,8030.0,19529.5,12643.0,9241.0,1,-6.5933197750878465,-53.59398392397692,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3007_0,0.0061291363,0.3184754,0.007916145,0.16547981,-0.018724103,0.379756,-198.0,8350.5,-1298.5,18576.0,-1163.0,13301.0,-812.0,9602.0,-0.014420725,0.29792553,-0.0043169144,0.15324676,-0.02232715,0.37615296,-195.5,8353.0,-1448.5,18426.0,-935.0,13529.0,-447.0,9967.0,0.015976887,0.32832316,0.032421604,0.18998528,0.0024115525,0.40089166,-82.5,8466.0,-78.5,19796.0,-989.0,13475.0,-404.0,10010.0,0.31234628,0.15756367,0.39848012,8548.5,19874.5,14464.0,10414.0,1,-10.580492163652343,-64.16086661107485,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3008_0,0.005446036,0.31473723,-0.021556225,0.15987206,0.023237295,0.37505814,413.5,8734.5,1864.5,19218.5,1896.5,13920.5,862.0,10017.0,0.020766146,0.33005732,0.009624159,0.19105244,0.014816503,0.36663735,-42.0,8279.0,510.0,17864.0,109.0,12133.0,-157.0,8998.0,-9.3762996E-4,0.30835354,0.009660304,0.19108859,-0.004906564,0.34691426,110.5,8431.5,35.0,17389.0,-214.5,11809.5,37.5,9192.5,0.30929118,0.18142828,0.35182083,8321.0,17354.0,12024.0,9155.0,1,-13.610419785459078,-63.28500920905832,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3009_0,0.002672101,0.34090257,-0.012083714,0.19320907,-0.0012066633,0.38468388,179.0,8292.0,351.0,18660.0,545.0,12617.0,118.0,9172.0,0.004745718,0.34297618,-0.0031359252,0.20215686,0.0059599215,0.39185047,21.0,8134.0,307.0,18616.0,283.0,12355.0,53.5,9107.5,0.0057250946,0.34395555,0.0046271873,0.20991997,0.003613957,0.3895045,123.5,8236.5,437.5,18746.5,169.5,12241.5,97.0,9151.0,0.33823046,0.20529278,0.38589054,8113.0,18309.0,12072.0,9054.0,1,-6.772264179684456,-63.074264443403884,"{""type"":""MultiPoint"",""coordinates"":[]}"
