system:index,0_NBR_delta_lag4,0_NBR_lag4,0_NDMI_delta_lag4,0_NDMI_lag4,0_NDVI_delta_lag4,0_NDVI_lag4,0_SR_B4_delta_lag4,0_SR_B4_lag4,0_SR_B5_delta_lag4,0_SR_B5_lag4,0_SR_B6_delta_lag4,0_SR_B6_lag4,0_SR_B7_delta_lag4,0_SR_B7_lag4,1_NBR_delta_lag3,1_NBR_lag3,1_NDMI_delta_lag3,1_NDMI_lag3,1_NDVI_delta_lag3,1_NDVI_lag3,1_SR_B4_delta_lag3,1_SR_B4_lag3,1_SR_B5_delta_lag3,1_SR_B5_lag3,1_SR_B6_delta_lag3,1_SR_B6_lag3,1_SR_B7_delta_lag3,1_SR_B7_lag3,2_NBR_delta_lag2,2_NBR_lag2,2_NDMI_delta_lag2,2_NDMI_lag2,2_NDVI_delta_lag2,2_NDVI_lag2,2_SR_B4_delta_lag2,2_SR_B4_lag2,2_SR_B5_delta_lag2,2_SR_B5_lag2,2_SR_B6_delta_lag2,2_SR_B6_lag2,2_SR_B7_delta_lag2,2_SR_B7_lag2,3_NBR_delta_lag1,3_NBR_lag1,3_NDMI_delta_lag1,3_NDMI_lag1,3_NDVI_delta_lag1,3_NDVI_lag1,3_SR_B4_delta_lag1,3_SR_B4_lag1,3_SR_B5_delta_lag1,3_SR_B5_lag1,3_SR_B6_delta_lag1,3_SR_B6_lag1,3_SR_B7_delta_lag1,3_SR_B7_lag1,class,latitude,longitude,.geo
1_1000_0,-0.117098935,0.23828174,-0.16395311,0.17761853,0.23509325,0.27884278,-10498.0,8201.0,-5867.0,14543.0,139.0,10156.0,-761.0,8946.0,-0.12389165,0.23148903,-0.21010633,0.1314653,0.22333671,0.26708624,-10401.5,8297.5,-6065.0,14345.0,994.5,11011.5,-755.0,8952.0,-0.10085504,0.25452563,-0.1634668,0.17810483,0.23417766,0.2779272,-10241.0,8458.0,-5441.0,14969.0,426.0,10443.0,-812.0,8895.0,-0.10266036,0.25272033,-0.13321494,0.20835671,0.23667668,0.2804262,-10223.5,8475.5,-5328.5,15081.5,-136.5,9880.5,-710.5,8996.5,1,59.41156353546336,102.00275728072334,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1001_0,0.09548322,0.19471829,0.040588047,0.09221131,0.07667946,0.2537533,-395.5,8872.5,1650.0,14906.5,434.5,12389.5,-815.5,10047.5,0.07739677,0.17663184,0.007640276,0.059263542,0.061296143,0.23837,-820.0,8448.0,479.5,13736.0,244.0,12199.0,-1251.0,9612.0,0.067897566,0.16713262,0.036110315,0.08773358,0.029973809,0.20704766,-492.0,8776.0,102.5,13359.0,-751.0,11204.0,-1330.0,9533.0,0.1385269,0.23776196,0.09697589,0.14859916,0.08297998,0.26005384,79.0,9347.0,2660.5,15917.0,-156.5,11798.5,-1061.0,9802.0,1,68.18010885528241,94.4361578110562,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1002_0,0.104445755,0.2565445,0.09362934,0.17907263,0.1018156,0.29145676,-702.5,8262.5,1899.0,15060.0,-603.5,10485.5,-775.5,8910.5,0.08925445,0.2413532,0.076098494,0.16154179,0.09711057,0.28675172,-788.5,8176.5,1590.0,14751.0,-441.0,10648.0,-671.0,9015.0,0.17146213,0.32356086,0.21152663,0.29696992,0.17467462,0.36431575,-1182.0,7783.0,3543.0,16704.0,-2034.5,9054.5,-1149.0,8537.0,0.09844904,0.2505478,0.12156825,0.20701155,0.09339893,0.28304008,-673.0,8292.0,1678.0,14839.0,-1340.0,9749.0,-793.0,8893.0,1,62.88696570666496,86.96064751119879,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1003_0,0.028841542,0.23495145,0.046453256,0.13778883,0.005406349,0.27277705,-110.5,8630.5,-16.0,15105.0,-1143.5,11446.5,-595.5,9357.5,0.019031115,0.22514103,0.041699275,0.13303484,0.006741627,0.27411234,-451.0,8290.0,-570.0,14551.0,-1456.0,11134.0,-750.0,9203.0,0.012369966,0.21847989,0.03266773,0.1240033,-0.0033572868,0.26401344,-410.0,8331.0,-813.0,14308.0,-1439.0,11151.0,-776.0,9177.0,-0.03800558,0.16810434,0.025800472,0.11713604,-0.045738745,0.22163197,-609.0,8132.0,-2358.0,12763.0,-2503.5,10086.5,-863.5,9089.5,1,58.64512093505258,109.49605422320634,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1004_0,0.027089188,0.21409042,-0.008938938,0.10420383,0.040985554,0.2909206,-243.0,8415.0,892.0,15320.0,933.5,12428.5,35.0,9917.0,-0.07397231,0.11302893,-0.083866335,0.029276436,-0.062226526,0.1877085,-14.0,8644.0,-1789.0,12639.0,425.0,11920.0,190.0,10072.0,5.2697107E-4,0.18752821,0.04428056,0.15742333,-0.0036861289,0.2462489,95.5,8753.5,45.0,14473.0,-959.0,10536.0,20.0,9902.0,0.028428461,0.2154297,0.033696607,0.14683938,0.040057734,0.28999275,-325.0,8333.0,712.0,15140.0,-232.0,11263.0,-109.0,9773.0,1,58.91542400404415,118.74699485059759,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1005_0,0.021821238,0.23544015,0.049111627,0.19544756,0.03843056,0.2751943,42.5,8627.0,1267.5,15178.0,-144.0,10215.0,379.5,9393.0,0.014833881,0.2284528,0.016565561,0.16290149,0.017948406,0.25471213,114.5,8699.0,734.5,14645.0,183.0,10542.0,184.5,9198.0,0.13960801,0.35322693,0.20833729,0.35467324,-4.3969622E-4,0.23632403,3159.5,11744.0,5102.0,19012.5,-1302.0,9057.0,73.5,9087.0,0.03493697,0.24855588,0.053985994,0.20032193,0.024462491,0.2612262,151.5,8736.0,1003.5,14914.0,-423.0,9936.0,-37.5,8976.0,1,53.80850161382467,98.49717171597533,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1006_0,0.032745272,0.28336963,0.061229672,0.19001767,0.03575444,0.33578917,-1367.5,8204.0,-1278.0,16499.0,-2490.5,11230.0,-1439.0,9213.0,0.012003122,0.26262748,0.030770715,0.15955871,0.009577673,0.30961242,-1315.5,8256.0,-2116.0,15661.0,-2369.5,11351.0,-1506.0,9146.0,0.014332903,0.26495728,0.08043619,0.2092242,-0.022268165,0.2777666,-620.5,8951.0,-1941.0,15836.0,-3364.5,10356.0,-1450.0,9202.0,0.011222637,0.261847,0.09347339,0.22226138,-0.045391332,0.2546434,-301.5,9270.0,-2173.0,15604.0,-3791.5,9929.0,-1524.0,9128.0,1,58.97929422074504,103.3831085463014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1007_0,0.023865396,0.21237333,0.04490998,0.13211289,0.045138072,0.24893437,-1913.5,8237.5,-1649.5,13698.0,-2384.5,10501.0,-1580.0,8899.0,0.034546927,0.22305486,0.043808624,0.13101155,0.059673574,0.26346987,-1826.0,8325.0,-1066.5,14281.0,-1913.0,10972.5,-1407.0,9072.0,0.045165967,0.2336739,0.10661522,0.19381814,0.054684326,0.25848064,-1844.5,8306.5,-1250.0,14097.5,-3365.5,9520.0,-1722.0,8757.0,0.04989479,0.23840272,0.13147523,0.21867815,0.074575916,0.27837223,-1923.0,8228.0,-771.5,14576.0,-3540.5,9345.0,-1515.0,8964.0,1,59.37545126104175,100.74475655684238,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1008_0,-0.0057478542,0.26339045,-0.017095223,0.23547874,0.12575491,0.28464863,-3437.0,8439.0,-1208.0,15155.0,-386.0,9378.0,-587.0,8836.0,-0.0246189,0.2445194,-0.030340243,0.22223373,0.11753642,0.27643016,-3509.0,8367.0,-1603.0,14760.0,-371.5,9392.5,-463.0,8960.0,-0.027638579,0.2414997,-0.04001418,0.21255979,0.08451203,0.24340576,-3005.5,8870.5,-1785.0,14578.0,-297.0,9467.0,-516.5,8906.5,-0.035044454,0.23409383,-0.0830257,0.16954826,0.11359202,0.27248576,-3387.0,8489.0,-1515.0,14848.0,779.0,10543.0,-208.0,9215.0,1,55.32090522616829,106.16806559012875,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1009_0,0.0016419481,0.28462842,0.010240784,0.19831006,0.021512717,0.32722983,-2656.5,8267.0,-4234.5,16309.0,-3128.5,10911.0,-2399.0,9082.0,-0.009398744,0.27358773,-0.019572183,0.1684971,0.012943856,0.31866094,-2650.0,8273.5,-4531.0,16012.5,-2645.0,11394.5,-2348.0,9133.0,-0.030990012,0.25199646,-0.024357943,0.16371134,0.0018099624,0.30752707,-2703.5,8220.0,-5022.5,15521.0,-2885.5,11154.0,-2208.0,9273.0,-0.033505574,0.24948089,-0.048234325,0.13983496,-0.023928637,0.28178847,-2410.0,8513.5,-5349.5,15194.0,-2573.5,11466.0,-2354.5,9126.5,1,57.11142725047532,86.97681718631294,"{""type"":""MultiPoint"",""coordinates"":[]}"
