system:index,0_NBR_delta_lag4,0_NBR_lag4,0_NDMI_delta_lag4,0_NDMI_lag4,0_NDVI_delta_lag4,0_NDVI_lag4,0_SR_B4_delta_lag4,0_SR_B4_lag4,0_SR_B5_delta_lag4,0_SR_B5_lag4,0_SR_B6_delta_lag4,0_SR_B6_lag4,0_SR_B7_delta_lag4,0_SR_B7_lag4,1_NBR_delta_lag3,1_NBR_lag3,1_NDMI_delta_lag3,1_NDMI_lag3,1_NDVI_delta_lag3,1_NDVI_lag3,1_SR_B4_delta_lag3,1_SR_B4_lag3,1_SR_B5_delta_lag3,1_SR_B5_lag3,1_SR_B6_delta_lag3,1_SR_B6_lag3,1_SR_B7_delta_lag3,1_SR_B7_lag3,2_NBR_delta_lag2,2_NBR_lag2,2_NDMI_delta_lag2,2_NDMI_lag2,2_NDVI_delta_lag2,2_NDVI_lag2,2_SR_B4_delta_lag2,2_SR_B4_lag2,2_SR_B5_delta_lag2,2_SR_B5_lag2,2_SR_B6_delta_lag2,2_SR_B6_lag2,2_SR_B7_delta_lag2,2_SR_B7_lag2,3_NBR_delta_lag1,3_NBR_lag1,3_NDMI_delta_lag1,3_NDMI_lag1,3_NDVI_delta_lag1,3_NDVI_lag1,3_SR_B4_delta_lag1,3_SR_B4_lag1,3_SR_B5_delta_lag1,3_SR_B5_lag1,3_SR_B6_delta_lag1,3_SR_B6_lag1,3_SR_B7_delta_lag1,3_SR_B7_lag1,4_NBR_lag0,4_NDMI_lag0,4_NDVI_lag0,4_SR_B4_lag0,4_SR_B5_lag0,4_SR_B6_lag0,4_SR_B7_lag0,class,latitude,longitude,.geo
1_3000_0,0.042581934,0.30382246,0.059533656,0.26707637,0.057229433,0.32122448,-615.5,8315.0,848.0,16185.0,-703.0,9362.0,-341.5,8642.0,-0.0063095293,0.25493097,-0.026361614,0.1811811,0.014993185,0.27898824,-806.5,8124.0,-926.0,14411.0,-75.0,9990.0,-427.5,8556.0,-0.0031774521,0.25806308,0.0077703707,0.21531308,0.002040887,0.26603594,-823.5,8107.0,-1353.0,13984.0,-1036.0,9029.0,-736.5,8247.0,-0.0116973175,0.2495432,-0.029397588,0.17814513,0.0066087935,0.27060384,-686.5,8244.0,-976.0,14361.0,-47.0,10018.0,-358.5,8625.0,0.2612405,0.20754272,0.26399505,8930.5,15337.0,10065.0,8983.5,1,49.88088752859729,-73.84731048820724,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3001_0,0.119458504,0.23756813,0.2150652,0.21955109,0.10717763,0.28380886,-1842.0,8108.0,315.0,14534.0,-4791.0,9301.0,-2261.0,8954.0,0.036595773,0.15470539,0.10379607,0.10828196,0.025869748,0.20250097,-1723.0,8227.0,-1814.0,12405.0,-4111.0,9981.0,-2134.0,9081.0,0.11202826,0.23013788,0.15590982,0.16039571,0.09321076,0.26984197,-1806.0,8144.0,-55.5,14163.5,-3844.0,10248.0,-2351.0,8864.0,0.13580261,0.25391224,0.1844581,0.188944,0.10893358,0.2855648,-1756.5,8193.5,524.5,14743.5,-4034.5,10057.5,-2442.5,8772.5,0.11810961,0.004485889,0.17663123,9950.0,14219.0,14092.0,11215.0,1,49.22871063232652,-72.19261373485908,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3002_0,-0.033370994,0.30524164,-0.048942003,0.3052174,0.09678314,0.22021234,-3883.0,11219.0,-1799.5,17555.5,114.0,9345.0,-218.5,9344.5,-0.12327599,0.21533664,-0.18116967,0.1729897,0.12143111,0.24486032,-6709.0,8393.0,-5519.0,13836.0,524.0,9755.0,-630.0,8933.0,-0.008021443,0.33059117,-0.06593498,0.2882244,-0.01053425,0.11289495,-404.0,14698.0,-916.0,18439.0,957.0,10188.0,-286.5,9276.5,-0.12526685,0.21334578,-0.204453,0.14970638,0.11231504,0.23574424,-6263.0,8839.0,-5063.0,14292.0,1339.0,10570.0,-297.0,9266.0,0.33861262,0.35415938,0.1234292,15102.0,19355.0,9231.0,9563.0,1,50.49506568834981,-72.48151193023192,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3003_0,0.103901185,0.34294304,0.10339814,0.37003106,0.03387604,0.22397077,-25.0,11046.0,1154.0,17422.0,-1408.0,8011.0,-1467.0,8524.0,0.015825754,0.2548676,-0.05770353,0.2089294,0.07516452,0.26525927,-2753.0,8318.0,-1944.0,14324.0,-46.0,9373.0,-1485.5,8505.5,0.03274928,0.27179113,-0.052410122,0.2142228,0.025497455,0.21559219,-1507.5,9563.5,-1447.5,14820.5,172.0,9591.0,-1505.0,8486.0,0.055395056,0.2944369,0.004032233,0.27066517,0.042753007,0.23284775,-1276.0,9795.0,-527.0,15741.0,-384.0,9035.0,-1411.0,8580.0,0.23904185,0.2666329,0.19009474,11071.0,16268.0,9419.0,9991.0,1,50.48698085079273,-72.50603593748839,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3004_0,0.056683682,0.2508655,0.028067466,0.24970277,0.08343417,0.25616565,-3025.0,8558.0,-1967.5,14452.5,-1785.0,8677.0,-2424.5,8655.5,0.015726916,0.20990874,-0.04889693,0.17273836,0.0706616,0.2433931,-3395.0,8188.0,-2964.0,13456.0,-970.0,9492.0,-2293.0,8787.0,0.045745082,0.2399269,-0.033485107,0.18815018,0.077476904,0.2502084,-3038.0,8545.0,-2172.0,14248.0,-726.5,9735.5,-2346.0,8734.0,0.0128022265,0.20698404,-0.06883812,0.15279718,0.084705785,0.2574373,-3296.0,8287.0,-2387.0,14033.0,-149.0,10313.0,-1860.0,9220.0,0.19418181,0.2216353,0.17273149,11583.0,16420.0,10462.0,11080.0,1,50.489406302059855,-72.48070344647621,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3005_0,-0.0010446955,0.22161312,0.04744386,0.21484427,-0.006609938,0.25488114,38.0,8071.5,-129.0,13593.5,-1001.5,8785.5,-63.0,8661.5,-0.005586718,0.2170711,0.015765404,0.18316582,-0.008849019,0.25264207,-343.0,7690.5,-832.5,12890.0,-888.0,8899.0,-432.5,8292.0,-0.008145129,0.21451269,0.042007353,0.20940776,-0.02211445,0.23937663,-175.5,7858.0,-918.5,12804.0,-1417.0,8370.0,-443.5,8281.0,-0.014487634,0.20817018,-0.025044339,0.14235607,-0.021782435,0.23970865,56.0,8089.5,-532.0,13190.5,116.0,9903.0,-79.5,8645.0,0.22265781,0.16740042,0.2614911,8033.5,13722.5,9787.0,8724.5,1,49.79114583171375,-72.39446517920074,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3006_0,0.09853772,0.21681234,0.02650216,0.17935868,0.10232085,0.24332538,-4692.5,8091.5,-3685.5,13295.5,-3226.5,9251.5,-4831.5,8557.5,0.058113974,0.17638859,-0.036260184,0.116596326,0.06810591,0.20911045,-4780.0,8004.0,-4744.5,12236.5,-2797.0,9681.0,-4822.0,8567.0,0.09286636,0.21114098,0.0014211255,0.15427764,0.10175546,0.24276,-4822.0,7962.0,-3914.0,13067.0,-2904.0,9574.0,-4878.0,8511.0,0.09619727,0.21447188,-0.0024192191,0.1504373,0.10854663,0.24955116,-4528.5,8255.5,-3235.0,13746.0,-2327.0,10151.0,-4498.0,8891.0,0.118274614,0.15285651,0.14100453,12784.0,16981.0,12478.0,13389.0,1,49.04383734685472,-72.39769911422357,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3007_0,-0.014379713,0.24008241,0.005388551,0.20613942,0.04881534,0.2832842,-926.0,7900.0,-87.5,14145.0,-163.5,9310.0,209.5,8668.0,-0.047865476,0.20659664,-0.053581737,0.14716913,-0.006927994,0.22754085,-838.0,7988.0,-1538.5,12694.0,-36.5,9437.0,-111.5,8347.0,-0.013076639,0.24138549,-0.007119195,0.19363166,0.027415331,0.26188418,-713.0,8113.0,-362.5,13870.0,-103.5,9370.0,17.5,8476.0,-0.049831636,0.20463048,-0.05295687,0.147794,-0.0386286,0.19584025,376.0,9202.0,-548.5,13684.0,686.5,10160.0,576.5,9035.0,0.25446212,0.20075086,0.23446885,8826.0,14232.5,9473.5,8458.5,1,49.64049835856691,-72.67743449369839,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3008_0,0.015649851,0.21798594,0.07234363,0.2303255,-0.0037448222,0.24499056,-509.5,7696.0,-948.5,12690.5,-1978.5,7939.0,-900.5,8148.0,0.021771444,0.22410753,0.027234515,0.18521638,-0.008496881,0.2402385,-18.5,8187.0,-274.5,13364.5,-730.0,9187.5,-577.5,8471.0,-0.018369475,0.1839666,-0.01054266,0.14743921,-0.033635028,0.21510035,-325.5,7880.0,-1440.0,12199.0,-853.5,9064.0,-640.5,8408.0,0.0069219233,0.209258,0.042018127,0.2,-0.0019877334,0.24674764,-345.5,7860.0,-629.5,13009.5,-1244.5,8673.0,-541.5,8507.0,0.20233609,0.15798187,0.24873538,8205.5,13639.0,9917.5,9048.5,1,50.493448720838394,-72.50361048622126,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3009_0,-0.032937974,0.27196372,-0.083436504,0.2540057,-0.07608506,0.15686949,777.0,11037.0,-1348.0,15144.0,839.0,9009.0,-117.0,8668.0,-0.04725533,0.25764635,-0.11390117,0.22354105,-0.03423854,0.19871601,-337.5,9922.5,-1648.0,14844.0,1250.0,9420.0,-23.0,8762.0,-0.061149236,0.24375245,-0.13140315,0.20603907,0.041251253,0.2742058,-2138.0,8122.0,-2233.0,14259.0,1217.0,9387.0,-115.0,8670.0,-0.0631939,0.24170779,-0.12443947,0.21300274,-0.010032685,0.22292186,-1066.0,9194.0,-2023.0,14469.0,1217.5,9387.5,51.0,8836.0,0.3049017,0.33744222,0.23295455,10260.0,16492.0,8170.0,8785.0,1,50.47647056196853,-72.52031915050588,"{""type"":""MultiPoint"",""coordinates"":[]}"
