system:index,0_NBR_delta_lag4,0_NBR_lag4,0_NDMI_delta_lag4,0_NDMI_lag4,0_NDVI_delta_lag4,0_NDVI_lag4,0_SR_B4_delta_lag4,0_SR_B4_lag4,0_SR_B5_delta_lag4,0_SR_B5_lag4,0_SR_B6_delta_lag4,0_SR_B6_lag4,0_SR_B7_delta_lag4,0_SR_B7_lag4,1_NBR_delta_lag3,1_NBR_lag3,1_NDMI_delta_lag3,1_NDMI_lag3,1_NDVI_delta_lag3,1_NDVI_lag3,1_SR_B4_delta_lag3,1_SR_B4_lag3,1_SR_B5_delta_lag3,1_SR_B5_lag3,1_SR_B6_delta_lag3,1_SR_B6_lag3,1_SR_B7_delta_lag3,1_SR_B7_lag3,2_NBR_delta_lag2,2_NBR_lag2,2_NDMI_delta_lag2,2_NDMI_lag2,2_NDVI_delta_lag2,2_NDVI_lag2,2_SR_B4_delta_lag2,2_SR_B4_lag2,2_SR_B5_delta_lag2,2_SR_B5_lag2,2_SR_B6_delta_lag2,2_SR_B6_lag2,2_SR_B7_delta_lag2,2_SR_B7_lag2,3_NBR_delta_lag1,3_NBR_lag1,3_NDMI_delta_lag1,3_NDMI_lag1,3_NDVI_delta_lag1,3_NDVI_lag1,3_SR_B4_delta_lag1,3_SR_B4_lag1,3_SR_B5_delta_lag1,3_SR_B5_lag1,3_SR_B6_delta_lag1,3_SR_B6_lag1,3_SR_B7_delta_lag1,3_SR_B7_lag1,4_NBR_lag0,4_NDMI_lag0,4_NDVI_lag0,4_SR_B4_lag0,4_SR_B5_lag0,4_SR_B6_lag0,4_SR_B7_lag0,class,latitude,longitude,.geo
1_3000_0,0.20312661,0.32288262,0.13532524,0.23045927,0.15903391,0.3598249,-2026.0,8482.0,2229.0,18017.0,-1777.0,11268.0,-3189.0,9222.0,0.17124058,0.29099658,0.15610795,0.25124198,0.0459122,0.2467032,-540.0,9968.0,709.0,16497.0,-3173.0,9872.0,-3351.0,9060.0,0.16616876,0.28592476,0.17551729,0.27065134,0.089486405,0.2902774,-1387.0,9121.0,794.0,16582.0,-3527.0,9518.0,-3203.0,9208.0,0.16807225,0.28782827,0.1414572,0.23659125,0.049313556,0.25010455,-197.5,10310.5,1400.0,17188.0,-2434.0,10611.0,-2906.0,9505.0,0.11975602,0.09513405,0.200791,10508.0,15788.0,13045.0,12411.0,1,60.30844151512829,92.98762441541348,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3001_0,0.037664678,0.28519166,0.008298778,0.18288621,0.024512729,0.32987696,-682.0,8143.0,-424.0,16160.0,-491.0,11163.0,-1015.0,8988.0,0.08885587,0.33638287,0.15229215,0.3268796,-0.104905866,0.20045838,3385.0,12210.0,1748.5,18332.5,-2354.0,9300.0,-899.5,9103.5,0.13658565,0.38411263,0.19660695,0.3711944,-0.21298352,0.09238072,7715.0,16540.0,3323.0,19907.0,-2525.0,9129.0,-1145.0,8858.0,0.18216348,0.42969045,0.25020725,0.42479467,-0.1613387,0.14402553,9542.5,18367.5,7964.5,24548.5,-1743.5,9910.5,-210.5,9792.5,0.24752699,0.17458743,0.30536425,8825.0,16584.0,11654.0,10003.0,1,60.78436895265481,92.50172567823323,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3002_0,0.12514424,0.30723482,0.14587729,0.19504474,0.10471614,0.34437907,-2179.0,8468.0,5.0,17364.0,-4036.0,11696.0,-2809.0,9202.0,0.110558964,0.29264954,0.20735396,0.2565214,0.06750903,0.30717197,-1890.0,8757.0,-837.0,16522.0,-5956.0,9776.0,-2970.0,9041.0,0.10591144,0.288002,0.21581577,0.2649832,0.08366743,0.32333034,-2123.5,8523.5,-690.0,16669.0,-6046.5,9685.5,-2796.5,9214.5,0.115298055,0.2973886,0.19142468,0.24059212,0.061285418,0.30094835,-1156.5,9490.5,303.0,17662.0,-4920.5,10811.5,-2446.0,9565.0,0.18209057,0.049167447,0.23966293,10647.0,17359.0,15732.0,12011.0,1,60.95630649803529,92.59901322350338,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3003_0,0.1783721,0.3289145,0.19018519,0.20512399,0.15889297,0.36475226,-2602.0,8539.0,1428.0,18345.0,-4319.0,12100.0,-3226.0,9264.0,0.09580921,0.24635158,0.172924,0.1878628,0.066456914,0.2723162,-2129.0,9012.0,-1160.0,15757.0,-5646.0,10773.0,-2962.0,9528.0,0.08045074,0.23099314,0.19431576,0.20925456,0.04889928,0.25475857,-2224.0,8917.0,-1903.5,15013.5,-6601.5,9817.5,-3111.0,9379.0,0.16254827,0.31309068,0.19544692,0.21038572,0.0034359181,0.20929521,487.5,11628.5,867.5,17784.5,-4817.0,11602.0,-3186.5,9303.5,0.1505424,0.014938805,0.20585929,11141.0,16917.0,16419.0,12490.0,1,60.96897274354137,92.61895582281083,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3004_0,0.09400124,0.24685563,0.12971216,0.14129485,0.052653197,0.28320193,-2571.0,8569.5,-2475.5,15341.0,-5866.0,11542.5,-3825.5,9266.5,0.11527058,0.26812497,0.22022696,0.23180965,0.055707302,0.28625605,-2953.5,8187.0,-3062.5,14754.0,-8207.5,9201.0,-4577.0,8515.0,0.17847215,0.33132654,0.26107353,0.27265623,0.053995065,0.2845438,-1164.0,9976.5,95.5,17912.0,-7171.5,10237.0,-4095.5,8996.5,0.19219828,0.34505266,0.27232316,0.28390583,0.056964893,0.28751364,-364.5,10776.0,1656.5,19473.0,-6547.5,10861.0,-3610.0,9482.0,0.1528544,0.011582683,0.23054874,11140.5,17816.5,17408.5,13092.0,1,60.95819296013194,92.63889842211827,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3005_0,0.17485301,0.26740125,0.17124462,0.17347115,0.13427937,0.29088497,-4217.5,8419.5,-2003.0,15327.0,-6457.5,10795.5,-5534.5,8859.5,0.15732917,0.24987741,0.18197621,0.18420275,0.12305116,0.27965677,-4746.0,7891.0,-3312.0,14018.0,-7596.0,9657.0,-5981.0,8413.0,0.15494253,0.24749075,0.19100267,0.19322918,0.12426585,0.28087145,-4682.0,7955.0,-3161.0,14169.0,-7673.0,9580.0,-5847.0,8547.0,0.116368264,0.2089165,0.17494094,0.17716748,0.039387833,0.19599344,-3085.0,9552.0,-3121.0,14209.0,-7321.0,9932.0,-5096.0,9298.0,0.09254823,0.0022265275,0.1566056,12637.0,17330.0,17253.0,14394.0,1,60.9646608301776,92.60844553398663,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3006_0,0.18211052,0.268597,0.16710861,0.17082408,0.11124881,0.29034027,-3339.5,8415.5,-1582.5,15301.5,-5922.5,10836.5,-5374.0,8822.0,0.15413132,0.24061781,0.17191783,0.17563331,0.090645246,0.26973668,-3774.5,7980.5,-3008.0,13876.0,-7029.0,9730.0,-5702.5,8493.5,0.15149908,0.23798557,0.17668024,0.18039572,0.095621794,0.27471325,-3803.5,7951.5,-2909.0,13975.0,-7055.5,9703.5,-5594.0,8602.0,0.19024454,0.276731,0.22399105,0.22770654,0.072124355,0.25121582,-1901.0,9854.0,-418.0,16466.0,-6401.0,10358.0,-4868.0,9328.0,0.08648649,0.0037154832,0.17909145,11755.0,16884.0,16759.0,14196.0,1,60.969511732711844,92.64401881923776,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3007_0,0.041448034,0.2698873,0.06608137,0.20068946,0.03370055,0.3014862,-1285.0,8225.0,-1141.0,15325.0,-2357.0,10202.0,-1531.0,8811.0,0.011359619,0.23979889,0.015017739,0.14962584,0.015573744,0.28335938,-1489.0,8021.0,-2102.0,14364.0,-1934.0,10625.0,-1534.5,8807.5,0.0045135473,0.23295282,0.084533535,0.21914163,-0.009100785,0.25868487,-1145.0,8365.0,-2263.0,14203.0,-3462.0,9097.0,-1506.0,8836.0,0.02401497,0.25245425,0.09377916,0.22838725,-0.0142624695,0.25352317,-545.0,8965.0,-1411.5,15054.5,-3102.5,9456.5,-1356.5,8985.5,0.22843927,0.13460809,0.26778564,9510.0,16466.0,12559.0,10342.0,1,60.30951949346923,92.96229192440131,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3008_0,0.095495395,0.25587058,0.13634817,0.16918644,0.0455367,0.2991099,-2288.0,8209.0,-2413.5,15215.5,-5696.0,10812.0,-3740.5,9015.5,0.0035823798,0.16395757,0.082470834,0.115309104,-0.055775385,0.19779782,-1936.5,8560.5,-4847.0,12782.0,-6369.0,10139.0,-3575.0,9181.0,0.007872125,0.16824731,0.071391694,0.104229964,-0.047406323,0.20616688,-2065.5,8431.5,-4818.0,12811.0,-6115.5,10392.5,-3635.0,9121.0,0.06728037,0.22765554,0.124357246,0.15719551,0.012154244,0.26572746,-2210.0,8287.0,-3344.0,14285.0,-6104.0,10404.0,-3769.0,8987.0,0.16037518,0.03283827,0.2535732,10497.0,17629.0,16508.0,12756.0,1,60.95657599262052,92.56748235703078,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3009_0,-0.26265624,0.2199949,-0.34781113,0.122240886,0.23745513,0.26954523,-18505.0,8264.0,-14181.0,14363.0,944.0,11234.0,-777.0,9183.0,-0.2553495,0.22730166,-0.30648905,0.16356297,0.22277929,0.2548694,-18467.5,8301.5,-14563.5,13980.5,-240.0,10050.0,-1158.0,8802.0,-0.20430867,0.2783425,-0.20237349,0.26767853,0.14401796,0.17610806,-15272.0,11497.0,-12132.0,16412.0,-809.0,9481.0,-695.0,9265.0,-0.2053494,0.27730176,-0.18897049,0.28108153,0.1927137,0.2248038,-16768.0,10001.0,-12742.5,15801.5,-1422.5,8867.5,-1019.5,8940.5,0.48265114,0.470052,0.032090105,26769.0,28544.0,10290.0,9960.0,1,60.09769674947385,91.01896647026555,"{""type"":""MultiPoint"",""coordinates"":[]}"
