system:index,0_NBR_delta_lag4,0_NBR_lag4,0_NDMI_delta_lag4,0_NDMI_lag4,0_NDVI_delta_lag4,0_NDVI_lag4,0_SR_B4_delta_lag4,0_SR_B4_lag4,0_SR_B5_delta_lag4,0_SR_B5_lag4,0_SR_B6_delta_lag4,0_SR_B6_lag4,0_SR_B7_delta_lag4,0_SR_B7_lag4,1_NBR_delta_lag3,1_NBR_lag3,1_NDMI_delta_lag3,1_NDMI_lag3,1_NDVI_delta_lag3,1_NDVI_lag3,1_SR_B4_delta_lag3,1_SR_B4_lag3,1_SR_B5_delta_lag3,1_SR_B5_lag3,1_SR_B6_delta_lag3,1_SR_B6_lag3,1_SR_B7_delta_lag3,1_SR_B7_lag3,2_NBR_delta_lag2,2_NBR_lag2,2_NDMI_delta_lag2,2_NDMI_lag2,2_NDVI_delta_lag2,2_NDVI_lag2,2_SR_B4_delta_lag2,2_SR_B4_lag2,2_SR_B5_delta_lag2,2_SR_B5_lag2,2_SR_B6_delta_lag2,2_SR_B6_lag2,2_SR_B7_delta_lag2,2_SR_B7_lag2,3_NBR_delta_lag1,3_NBR_lag1,3_NDMI_delta_lag1,3_NDMI_lag1,3_NDVI_delta_lag1,3_NDVI_lag1,3_SR_B4_delta_lag1,3_SR_B4_lag1,3_SR_B5_delta_lag1,3_SR_B5_lag1,3_SR_B6_delta_lag1,3_SR_B6_lag1,3_SR_B7_delta_lag1,3_SR_B7_lag1,4_NBR_lag0,4_NDMI_lag0,4_NDVI_lag0,4_SR_B4_lag0,4_SR_B5_lag0,4_SR_B6_lag0,4_SR_B7_lag0,class,latitude,longitude,.geo
1_3000_0,0.023485055,0.25681373,0.02622738,0.18822508,0.03737438,0.27124584,-943.5,8631.0,-364.0,15056.0,-834.5,10286.0,-682.5,8903.0,0.06398681,0.29731548,0.08186983,0.24386753,0.059284743,0.2931562,-1141.5,8433.0,8.0,15428.0,-1742.0,9378.5,-1229.0,8356.5,0.040153366,0.27348202,0.021238727,0.18323644,0.06684998,0.30072144,-1287.0,8287.5,-4.5,15415.5,-479.5,10641.0,-791.0,8794.5,0.060092587,0.29342124,0.1180247,0.2800224,0.020963443,0.2548349,-751.0,8823.5,-561.5,14858.5,-2763.0,8357.5,-1468.5,8117.0,0.23332867,0.1619977,0.23387145,9574.5,15420.0,11120.5,9585.5,1,62.255809388042586,15.963646503738577,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3001_0,0.004098835,0.25414038,0.012968059,0.1706401,0.006497772,0.29237685,-251.0,8106.0,-243.5,14804.5,-460.5,10488.5,-223.5,8804.5,-0.008502806,0.24153873,0.018220227,0.17589226,-0.022800593,0.26307848,-53.0,8304.0,-815.0,14233.0,-974.0,9975.0,-333.0,8695.0,-0.018870866,0.23117067,-0.01798482,0.13968723,-0.0179219,0.26795718,-321.0,8036.0,-1129.0,13919.0,-442.0,10507.0,-336.0,8692.0,-0.009356025,0.24068551,0.011259348,0.16893138,-0.018047936,0.26783115,-309.0,8048.0,-1112.0,13936.0,-1041.0,9908.0,-499.0,8529.0,0.25004154,0.15767203,0.28587908,8357.0,15048.0,10949.0,9028.0,1,61.4276525276128,15.413877549857428,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3002_0,0.0675152,0.29992265,0.07928472,0.22028586,0.049813982,0.32544625,-353.0,8125.0,1035.0,15965.0,-1039.0,10201.0,-701.0,8598.0,0.028550634,0.26095808,0.03530985,0.176311,0.022596842,0.2982291,-275.0,8203.0,245.0,15175.0,-614.0,10626.0,-405.0,8894.0,0.04249261,0.27490005,0.048363626,0.18936478,0.023846334,0.2994786,-484.0,7994.0,-101.0,14829.0,-1133.0,10107.0,-865.0,8434.0,0.029556805,0.26196426,0.044815768,0.18581691,0.02031721,0.29594946,-452.0,8026.0,-156.5,14773.5,-1096.5,10143.5,-659.0,8640.0,0.23240745,0.14100115,0.27563226,8478.0,14930.0,11240.0,9299.0,1,61.275657581539775,15.858274120911355,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3003_0,0.023515994,0.2308411,0.050507773,0.1661187,0.031953692,0.25681445,-519.5,8179.5,86.5,13832.5,-1005.5,9891.5,-381.0,8644.0,0.021893146,0.22921826,0.030639024,0.14624995,0.031636406,0.25649717,-474.0,8225.0,154.0,13900.0,-544.0,10353.0,-309.0,8716.0,0.009481315,0.21680643,0.019881586,0.1354925,0.02951911,0.25437987,-634.0,8065.0,-178.0,13568.0,-567.0,10330.0,-292.0,8733.0,-0.004065279,0.20325983,0.014922706,0.13053364,0.014936947,0.23979771,-619.0,8080.0,-568.5,13177.5,-762.5,10134.5,-299.5,8725.5,0.2073251,0.11561093,0.22486077,8699.0,13746.0,10897.0,9025.0,1,61.3532720220877,15.887379536116828,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3004_0,0.087729245,0.2528013,0.14346895,0.18862054,0.044580676,0.28014043,-1092.5,9022.0,-304.0,16044.0,-3983.5,10952.0,-2146.5,9569.0,0.10302946,0.26810154,0.13072394,0.17587554,0.022803541,0.2583633,-626.0,9488.5,-248.5,16099.5,-3652.0,11283.5,-2423.5,9292.0,0.026258426,0.19133049,0.04359467,0.088746265,0.0121997995,0.24775955,-1217.0,8897.5,-1589.5,14758.5,-2583.0,12352.5,-1697.5,10018.0,0.075363055,0.24043512,0.11325545,0.15840705,0.033965707,0.26952547,-1486.5,8628.0,-1353.0,14995.0,-4041.5,10894.0,-2533.5,9182.0,0.16507207,0.0451516,0.23555976,10114.5,16348.0,14935.5,11715.5,1,61.558626896037424,15.666932965393897,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3005_0,0.013694392,0.2934032,0.042489987,0.22430018,-0.009987895,0.32222128,-445.5,7970.0,-1240.5,15548.0,-1772.0,9851.0,-955.5,8494.0,2.2083192E-4,0.27992964,0.017656129,0.19946632,-0.021713546,0.31049562,-374.5,8041.0,-1505.5,15283.0,-1423.0,10200.0,-851.5,8598.0,0.014225095,0.29393393,0.038074356,0.21988453,-0.0044426415,0.32776654,-445.5,7970.0,-1046.5,15742.0,-1556.0,10067.0,-859.5,8590.0,0.011681629,0.29139045,0.036287636,0.21809782,-0.013620715,0.31858847,-513.0,7902.5,-1496.5,15292.0,-1807.0,9816.0,-1058.5,8391.0,0.27970883,0.18181019,0.33220917,8415.5,16788.5,11623.0,9449.5,1,62.8023444069009,15.003706791128455,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3006_0,0.10396643,0.24216297,0.14734964,0.16119699,0.05115525,0.27323815,-1909.0,8018.0,-1548.0,14047.0,-5022.0,10147.0,-3238.0,8570.0,0.08727346,0.22547002,0.13672815,0.1505755,0.02541418,0.2474971,-1847.0,8080.0,-2200.0,13395.0,-5280.0,9889.0,-3342.0,8466.0,0.07547707,0.21367362,0.12275418,0.13660154,0.023019815,0.24510272,-2027.0,7900.0,-2565.0,13030.0,-5271.0,9898.0,-3366.0,8442.0,0.05973966,0.1979362,0.12516169,0.13900906,0.0076936707,0.22977658,-1929.0,7998.0,-2825.0,12770.0,-5516.0,9653.0,-3258.0,8550.0,0.13819654,0.013847354,0.22208291,9927.0,15595.0,15169.0,11808.0,1,61.30206805089289,15.415494517368844,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3007_0,0.009245335,0.22503106,0.0074258577,0.13005672,-0.01109609,0.263551,-1148.0,8332.0,-2363.5,14295.5,-2014.5,11005.0,-1702.0,9043.5,0.031997986,0.24778372,0.08660629,0.20923714,-0.0013248668,0.27332222,-985.5,8494.5,-1774.5,14884.5,-3286.0,9733.5,-1772.5,8973.0,0.020486066,0.2362718,0.028266026,0.15089689,0.009380845,0.28402793,-1019.0,8461.0,-1485.0,15174.0,-1824.5,11195.0,-1371.5,9374.0,0.042197186,0.2579829,0.037806764,0.16043763,0.027983088,0.30263016,-1360.0,8120.0,-1491.5,15167.5,-2046.0,10973.5,-1799.0,8946.5,0.21578573,0.122630864,0.2746471,9480.0,16659.0,13019.5,10745.5,1,62.66732761969774,14.55203386627316,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3008_0,0.11126751,0.2492329,0.13889034,0.15962611,0.064567015,0.2860257,-1804.5,8024.0,-967.0,14453.0,-4319.5,10474.0,-2995.0,8686.0,0.09726229,0.23522769,0.14047374,0.1612095,0.023272032,0.24473073,-1533.0,8295.5,-1748.5,13671.5,-4918.0,9875.5,-3216.5,8464.5,0.08268859,0.22065398,0.11912753,0.13986328,0.019982098,0.2414408,-1320.5,8508.0,-1496.0,13924.0,-4286.5,10507.0,-2791.0,8890.0,0.104585186,0.24255058,0.13843888,0.15917465,0.05896458,0.28042328,-1872.5,7956.0,-1263.0,14157.0,-4524.5,10269.0,-3051.0,8630.0,0.1379654,0.020735763,0.2214587,9828.5,15420.0,14793.5,11681.0,1,62.84735000263529,15.817580438540741,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3009_0,-0.009741971,0.24498299,-0.010046795,0.16030353,0.009470221,0.2766551,-707.5,8295.5,-927.0,14641.0,-440.5,10595.5,-368.0,8879.0,-0.008012162,0.2467128,0.04498045,0.21533078,-0.007284552,0.25990033,-537.0,8466.0,-1156.0,14412.0,-1731.0,9305.0,-539.0,8708.0,-0.038375743,0.21634923,-0.058029912,0.11232041,0.008502923,0.2756878,-618.0,8385.0,-800.0,14768.0,749.5,11785.5,267.5,9514.5,-0.0027758123,0.25194916,-0.004919588,0.16543074,0.023653502,0.2908384,-887.0,8116.0,-795.0,14773.0,-457.0,10579.0,-420.0,8827.0,0.25472498,0.17035033,0.26718488,9003.0,15568.0,11036.0,9247.0,1,62.44472509229292,14.826379354043262,"{""type"":""MultiPoint"",""coordinates"":[]}"
