system:index,0_NBR_delta_lag4,0_NBR_lag4,0_NDMI_delta_lag4,0_NDMI_lag4,0_NDVI_delta_lag4,0_NDVI_lag4,0_SR_B4_delta_lag4,0_SR_B4_lag4,0_SR_B5_delta_lag4,0_SR_B5_lag4,0_SR_B6_delta_lag4,0_SR_B6_lag4,0_SR_B7_delta_lag4,0_SR_B7_lag4,1_NBR_delta_lag3,1_NBR_lag3,1_NDMI_delta_lag3,1_NDMI_lag3,1_NDVI_delta_lag3,1_NDVI_lag3,1_SR_B4_delta_lag3,1_SR_B4_lag3,1_SR_B5_delta_lag3,1_SR_B5_lag3,1_SR_B6_delta_lag3,1_SR_B6_lag3,1_SR_B7_delta_lag3,1_SR_B7_lag3,2_NBR_delta_lag2,2_NBR_lag2,2_NDMI_delta_lag2,2_NDMI_lag2,2_NDVI_delta_lag2,2_NDVI_lag2,2_SR_B4_delta_lag2,2_SR_B4_lag2,2_SR_B5_delta_lag2,2_SR_B5_lag2,2_SR_B6_delta_lag2,2_SR_B6_lag2,2_SR_B7_delta_lag2,2_SR_B7_lag2,3_NBR_delta_lag1,3_NBR_lag1,3_NDMI_delta_lag1,3_NDMI_lag1,3_NDVI_delta_lag1,3_NDVI_lag1,3_SR_B4_delta_lag1,3_SR_B4_lag1,3_SR_B5_delta_lag1,3_SR_B5_lag1,3_SR_B6_delta_lag1,3_SR_B6_lag1,3_SR_B7_delta_lag1,3_SR_B7_lag1,4_NBR_lag0,4_NDMI_lag0,4_NDVI_lag0,4_SR_B4_lag0,4_SR_B5_lag0,4_SR_B6_lag0,4_SR_B7_lag0,class,latitude,longitude,.geo
1_3000_0,0.052116707,0.13936716,0.034231123,0.0028473183,0.017038908,0.24205577,65.5,9833.0,674.0,16113.5,-418.0,16022.0,-790.0,12171.5,0.23987782,0.32712826,0.20844294,0.17705913,0.17113261,0.39614946,-1550.0,8217.5,3560.0,18999.5,-3156.5,13283.5,-3328.5,9633.0,0.19044118,0.27769163,0.16242278,0.13103898,0.1140687,0.33908555,94.5,9862.0,4542.0,19981.5,-1088.5,15351.5,-1665.5,11296.0,0.21242666,0.2996771,0.18587576,0.15449195,0.15648541,0.38150227,-1117.5,8650.0,3881.5,19321.0,-2290.0,14150.0,-2550.5,10411.0,0.08725045,-0.031383805,0.22501686,9767.5,15439.5,16440.0,12961.5,1,39.05367307216152,-78.38694677650524,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3001_0,0.05554164,0.22276892,0.054821357,0.10630133,0.05308876,0.33322233,-258.0,9011.0,1534.5,18017.5,-314.0,14555.0,-307.5,11452.5,0.21539149,0.38261878,0.18315436,0.23463432,0.1719661,0.45209968,-827.5,8441.5,5889.5,22372.5,-1000.0,13869.0,-1770.0,9990.0,0.08865132,0.2558786,0.049699135,0.10117911,0.019283442,0.29941702,-256.0,9013.0,234.0,16717.0,-1224.0,13645.0,-1855.0,9905.0,0.11666118,0.28388846,0.1071874,0.15866737,0.07257629,0.35270986,-544.5,8724.5,1749.5,18232.5,-1630.0,13239.0,-1590.5,10169.5,0.16722728,0.05147997,0.28013358,9269.0,16483.0,14869.0,11760.0,1,39.98289040205476,-78.97660092900131,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3002_0,0.20783934,0.27220693,0.24142079,0.18169002,0.11079527,0.2997674,-3055.0,7903.0,-1395.0,14669.5,-7947.0,10158.5,-5729.5,8392.0,0.21263486,0.27700245,0.23790434,0.17817359,0.11892173,0.30789387,-2968.5,7989.5,-966.5,15098.0,-7574.0,10531.5,-5573.5,8548.0,0.20101003,0.2653776,0.23601216,0.1762814,0.09853732,0.28750947,-2963.5,7994.5,-1618.0,14446.5,-7989.0,10116.5,-5734.5,8387.0,0.22690967,0.29127726,0.26012707,0.2003963,0.13795862,0.32693076,-2968.5,7989.5,-313.5,15751.0,-7613.5,10492.0,-5476.5,8645.0,0.064367585,-0.059730757,0.18897216,10958.0,16064.5,18105.5,14121.5,1,38.018274875685364,-78.29046771499081,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3003_0,0.072505675,0.22937265,0.09867532,0.13566929,0.02169948,0.28210142,-1345.0,8076.0,-1632.0,14423.0,-3932.5,10977.0,-2660.0,9041.0,0.123678684,0.28054568,0.1361418,0.17313579,0.07267068,0.33307263,-1320.0,8101.0,137.5,16192.5,-3496.5,11413.0,-2603.5,9097.5,0.046328615,0.2031956,0.07027371,0.107267685,-0.0020524433,0.2583495,-1299.0,8122.0,-2274.5,13780.5,-3799.0,11110.5,-2575.0,9126.0,0.1269741,0.28384107,0.13273807,0.16973203,0.06997491,0.33037686,-1154.0,8267.0,369.5,16424.5,-3251.5,11658.0,-2539.0,9162.0,0.15686698,0.036993977,0.26040193,9421.0,16055.0,14909.5,11701.0,1,38.210694009543765,-78.00965435717505,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3004_0,0.1847484,0.24156259,0.1323244,0.10375706,0.17264713,0.31205687,-1478.0,8757.0,3150.5,16701.5,-786.5,13561.5,-1891.5,10202.5,0.262204,0.3190182,0.1956766,0.16710925,0.24421968,0.3836294,-2012.0,8223.0,4908.0,18459.0,-1175.0,13173.0,-2564.0,9530.0,0.19598587,0.25280005,0.12440109,0.095833756,0.1380958,0.27750555,-1094.0,9141.0,2612.0,16163.0,-1012.0,13336.0,-2454.0,9640.0,0.17362207,0.23043627,0.12808214,0.09951481,0.13883261,0.27824235,-1086.0,9149.0,2652.0,16203.0,-1078.0,13270.0,-1960.0,10134.0,0.056814194,-0.028567333,0.13940974,10235.0,13551.0,14348.0,12094.0,1,38.30232216852396,-78.74806952072129,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3005_0,0.119708665,0.23395647,0.12297316,0.13205132,0.12556362,0.3393905,-1066.0,8725.0,2573.0,17690.0,-1282.0,13563.0,-1035.0,10982.0,0.1248288,0.23907661,0.10472408,0.11380225,0.12068292,0.3345098,-1306.0,8485.0,1898.0,17015.0,-1307.0,13538.0,-1568.0,10449.0,0.014718692,0.1289665,0.030850975,0.03992914,0.008867444,0.22269432,-461.0,9330.0,-441.0,14676.0,-1296.0,13549.0,-694.0,11323.0,0.22107056,0.33531836,0.18776622,0.19684438,0.19589366,0.40972054,-1247.0,8544.0,5288.0,20405.0,-1152.0,13693.0,-1860.0,10157.0,0.11424781,0.0090781655,0.21382688,9791.0,15117.0,14845.0,12017.0,1,39.312657368573184,-79.89584695924081,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3006_0,0.17995189,0.1935593,0.12601072,0.08282952,0.06776318,0.2513832,895.0,10554.0,3638.0,17642.0,-325.0,14943.0,-1708.0,11920.0,0.28420496,0.29781237,0.20764518,0.16446398,0.18966694,0.37328693,-833.0,8826.0,5336.0,19340.0,-1391.0,13877.0,-3164.0,10464.0,0.21630614,0.22991353,0.11720396,0.07402276,0.11383181,0.29745182,-319.5,9339.5,3244.0,17248.0,-397.5,14870.5,-2828.5,10799.5,0.25635698,0.26996437,0.15698145,0.11380025,0.16499607,0.34861606,-445.5,9213.5,5071.5,19075.5,-90.5,15177.5,-2662.5,10965.5,0.013607412,-0.043181196,0.18361999,9659.0,14004.0,15268.0,13628.0,1,39.10649401086775,-78.59095417752879,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3007_0,0.0071378625,0.1076079,0.025213834,-0.010254462,-0.00810502,0.21363251,-258.0,9287.0,-651.0,14333.0,-1456.0,14630.0,-700.0,11548.0,0.15288322,0.25335327,0.14126755,0.105799265,0.10449305,0.3262306,-596.5,8948.5,2630.0,17614.0,-1842.5,14243.5,-1755.0,10493.0,0.2294038,0.32987383,0.20838366,0.17291535,0.16209263,0.38383016,-1215.0,8330.0,3724.0,18708.0,-2894.0,13192.0,-2821.0,9427.0,0.16512494,0.265595,0.19774333,0.16227503,0.13231207,0.35404962,-118.0,9427.0,4777.0,19761.0,-1843.0,14243.0,-781.0,11467.0,0.100470036,-0.0354683,0.22173753,9545.0,14984.0,16086.0,12248.0,1,39.915786250331024,-78.20503793147104,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3008_0,0.16812836,0.30216384,0.12700942,0.15555827,0.12858206,0.38112104,-2786.5,8474.0,41.5,18911.0,-4002.5,13819.5,-4274.5,10134.5,0.22696197,0.36099747,0.19276428,0.22131313,0.17887872,0.43141773,-2870.5,8390.0,2252.5,21122.0,-4355.0,13467.0,-4492.0,9917.0,0.08559475,0.21963024,0.10856685,0.1371157,0.09808808,0.35062706,-2173.5,9087.0,30.5,18900.0,-3480.0,14342.0,-2316.0,12093.0,0.012732689,0.14676818,-0.00472461,0.023824235,-0.021617375,0.23092163,-1943.5,9317.0,-3957.5,14912.0,-3604.0,14218.0,-3314.0,11095.0,0.13403548,0.028548846,0.252539,11260.5,18869.5,17822.0,14409.0,1,38.23467902762975,-78.99600453913828,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3009_0,0.060955968,0.14349885,0.061346214,0.034731165,-0.015358011,0.2029945,-1807.0,8517.0,-3236.5,12855.5,-4979.5,11992.5,-4009.0,9629.0,0.1426966,0.22523949,0.14891826,0.1223032,0.064100355,0.28245288,-1665.0,8659.0,-616.0,15476.0,-4869.0,12103.0,-3852.0,9786.0,0.21703455,0.29957744,0.20052518,0.17391013,0.13725202,0.35560453,-1991.0,8333.0,1438.0,17530.0,-4636.0,12336.0,-4190.0,9448.0,0.24362656,0.32616946,0.22880119,0.20218614,0.1644594,0.38281193,-1979.0,8345.0,2605.0,18697.0,-4564.0,12408.0,-4138.0,9500.0,0.08254289,-0.02661505,0.21835251,10324.0,16092.0,16972.0,13638.0,1,38.08699599492051,-79.77107096627661,"{""type"":""MultiPoint"",""coordinates"":[]}"
