system:index,0_NBR_delta_lag4,0_NBR_lag4,0_NDMI_delta_lag4,0_NDMI_lag4,0_NDVI_delta_lag4,0_NDVI_lag4,0_SR_B4_delta_lag4,0_SR_B4_lag4,0_SR_B5_delta_lag4,0_SR_B5_lag4,0_SR_B6_delta_lag4,0_SR_B6_lag4,0_SR_B7_delta_lag4,0_SR_B7_lag4,1_NBR_delta_lag3,1_NBR_lag3,1_NDMI_delta_lag3,1_NDMI_lag3,1_NDVI_delta_lag3,1_NDVI_lag3,1_SR_B4_delta_lag3,1_SR_B4_lag3,1_SR_B5_delta_lag3,1_SR_B5_lag3,1_SR_B6_delta_lag3,1_SR_B6_lag3,1_SR_B7_delta_lag3,1_SR_B7_lag3,2_NBR_delta_lag2,2_NBR_lag2,2_NDMI_delta_lag2,2_NDMI_lag2,2_NDVI_delta_lag2,2_NDVI_lag2,2_SR_B4_delta_lag2,2_SR_B4_lag2,2_SR_B5_delta_lag2,2_SR_B5_lag2,2_SR_B6_delta_lag2,2_SR_B6_lag2,2_SR_B7_delta_lag2,2_SR_B7_lag2,3_NBR_delta_lag1,3_NBR_lag1,3_NDMI_delta_lag1,3_NDMI_lag1,3_NDVI_delta_lag1,3_NDVI_lag1,3_SR_B4_delta_lag1,3_SR_B4_lag1,3_SR_B5_delta_lag1,3_SR_B5_lag1,3_SR_B6_delta_lag1,3_SR_B6_lag1,3_SR_B7_delta_lag1,3_SR_B7_lag1,4_NBR_lag0,4_NDMI_lag0,4_NDVI_lag0,4_SR_B4_lag0,4_SR_B5_lag0,4_SR_B6_lag0,4_SR_B7_lag0,class,latitude,longitude,.geo
1_3000_0,0.027027199,0.26343128,0.022768851,0.115319364,0.0135354595,0.3417917,-48.0,8949.0,453.0,18243.0,-305.5,14470.5,-351.5,10635.5,0.06479505,0.3011991,0.06593619,0.15848671,0.055436283,0.38369253,-418.0,8579.0,1471.0,19261.0,-785.0,13991.0,-643.0,10344.0,0.12745194,0.36385602,0.12594782,0.21849832,0.12661365,0.4548699,-748.5,8248.5,4224.0,22014.0,-657.0,14119.0,-719.0,10268.0,-0.002673034,0.23373103,0.01854651,0.11109702,-0.022269135,0.30598712,317.0,9314.0,-263.0,17527.0,-754.0,14022.0,-101.0,10886.0,0.23640408,0.092550516,0.32825625,8997.0,17790.0,14776.0,10987.0,1,46.145423082643084,25.76624254710762,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3001_0,-0.029641677,0.25358763,-0.020175433,0.10965614,-0.056079034,0.32842064,-208.0,8589.5,-2798.5,16990.5,-1608.5,13632.5,-937.0,10116.5,-0.018808687,0.26442063,-0.0053463434,0.12448523,-0.033215728,0.35128394,-473.5,8324.0,-2450.0,17339.0,-1741.0,13500.0,-966.5,10087.0,0.035405647,0.31863496,0.053088184,0.18291976,-0.018649457,0.3658502,199.5,8997.0,-411.0,19378.0,-1856.0,13385.0,-1040.5,10013.0,0.024581628,0.30781093,0.03997803,0.16980961,0.0038994455,0.38839912,-299.0,8498.5,-496.5,19292.5,-1549.5,13691.5,-842.5,10211.0,0.28322932,0.12983157,0.38449967,8797.5,19789.0,15241.0,11053.5,1,46.18423030291705,24.7567158308141,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3002_0,-0.032466725,0.19298078,0.007707777,0.12978685,-0.05063633,0.2281184,-710.0,7862.0,-2689.0,12509.0,-2256.0,9635.0,-1144.0,8462.0,-0.044796363,0.18065114,0.014147909,0.13622698,-0.07062327,0.20813146,-645.0,7927.0,-3104.0,12094.0,-2697.0,9194.0,-1213.0,8393.0,-0.05641055,0.16903695,0.009536227,0.1316153,-0.079441324,0.1993134,-642.0,7930.0,-3320.0,11878.0,-2776.0,9115.0,-1163.0,8443.0,-0.044338107,0.1811094,0.0044306605,0.12650973,-0.078815274,0.19993946,-643.0,7929.0,-3306.0,11892.0,-2670.0,9221.0,-1361.0,8245.0,0.2254475,0.122079074,0.27875474,8572.0,15198.0,11891.0,9606.0,1,46.97384943765811,25.62044597649502,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3003_0,0.026693692,0.2813432,0.050141163,0.17952767,0.033906095,0.32614577,-677.0,7969.0,-103.0,15683.0,-1260.0,10909.0,-582.0,8796.0,-0.042147852,0.21250165,-0.015775805,0.11361071,-0.026162773,0.26607692,-640.0,8006.0,-1975.0,13811.0,-1176.0,10993.0,-408.0,8970.0,-0.039732195,0.2149173,0.018181428,0.14756794,-0.038966846,0.25327283,-746.0,7900.0,-2527.0,13259.0,-2320.0,9849.0,-810.0,8568.0,0.027720895,0.2823704,0.05335769,0.1827442,0.032832704,0.32507238,-721.0,7925.0,-227.0,15559.0,-1418.0,10751.0,-671.0,8707.0,0.2546495,0.12938651,0.2922397,8646.0,15786.0,12169.0,9378.0,1,46.94716947371976,25.163652654520245,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3004_0,0.060165823,0.32353333,0.07102851,0.18825953,0.004106674,0.3735073,165.0,9076.0,547.0,19898.0,-1697.0,13593.0,-1113.0,10170.0,-3.008576E-4,0.26306665,0.022720074,0.1399511,-0.043549392,0.32585123,-21.0,8890.0,-1867.0,17484.0,-2099.0,13191.0,-1082.0,10201.0,0.10213182,0.36549932,0.099876344,0.21710737,0.08239699,0.4517976,-677.0,8234.0,2455.0,21806.0,-1263.5,14026.5,-1150.5,10132.5,0.099053375,0.3624209,0.1066513,0.22388233,0.059277255,0.42867786,-476.0,8435.0,1742.0,21093.0,-1914.0,13376.0,-1412.0,9871.0,0.2633675,0.11723103,0.36940062,8911.0,19351.0,15290.0,11283.0,1,46.81457813778372,25.101938394501232,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3005_0,-0.046462473,0.28880358,-0.025422549,0.17509876,-0.05880906,0.35459775,-810.0,8078.5,-4461.5,16955.5,-2360.0,11902.5,-1305.5,9356.5,-0.04464568,0.2906204,-0.046255976,0.15426533,-0.05528137,0.35812545,-629.5,8259.0,-3942.0,17475.0,-1458.5,12804.0,-1057.0,9605.0,-0.04743951,0.28782657,-0.0365148,0.16400652,-0.067098945,0.34630787,-726.5,8162.0,-4607.0,16810.0,-2189.5,12073.0,-1366.0,9296.0,-0.1152337,0.22003236,-0.11434052,0.086180784,-0.12381425,0.28959256,-789.5,8099.0,-6715.0,14702.0,-1893.5,12369.0,-1263.0,9399.0,0.33526605,0.2005213,0.41340682,8888.5,21417.0,14262.5,10662.0,1,46.610840231345406,25.008693268009626,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3006_0,-0.04143819,0.25989532,0.01500187,0.16774046,-0.06905324,0.31692097,-699.0,7991.0,-4209.0,15406.0,-3437.0,10980.0,-1481.0,9050.0,-0.086894654,0.21443886,-0.025225092,0.12751351,-0.10948414,0.27649006,-824.0,7866.0,-5737.0,13878.0,-3678.0,10739.0,-1554.0,8977.0,-0.06532124,0.23601228,0.01643263,0.16917123,-0.10980299,0.2761712,-636.5,8053.5,-5416.0,14199.0,-4327.0,10090.0,-1754.5,8776.5,-0.016325207,0.2850083,0.030199548,0.18293814,-0.050353408,0.3356208,-606.0,8084.0,-3363.5,16251.5,-3192.0,11225.0,-1488.5,9042.5,0.30133352,0.1527386,0.3859742,8690.0,19615.0,14417.0,10531.0,1,46.74450954562239,25.21135319610699,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3007_0,0.1285893,0.3277017,0.11987561,0.18904093,0.09003491,0.39948207,-1510.0,8464.0,812.0,19725.0,-3013.0,13453.0,-2644.0,9988.0,0.10793182,0.3070442,0.1036673,0.17283262,0.07337534,0.38282248,-1527.0,8447.0,13.0,18926.0,-3118.0,13348.0,-2598.0,10034.0,0.1245991,0.32371148,0.12910093,0.19826625,0.06929322,0.37874037,-1254.0,8720.0,439.0,19352.0,-3518.0,12948.0,-2745.0,9887.0,0.13687833,0.3359907,0.13701251,0.20617783,0.08567581,0.39512298,-1255.0,8719.0,1197.0,20110.0,-3231.0,13235.0,-2637.0,9995.0,0.19911239,0.06916533,0.30944717,9974.0,18913.0,16466.0,12632.0,1,46.205789869735916,25.585681174999596,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3008_0,0.014527463,0.33654353,0.034668867,0.19800888,-0.020630158,0.38755703,-322.0,8392.0,-1721.5,19013.0,-2184.0,12728.0,-1195.5,9438.0,0.013957623,0.33597368,0.024747657,0.18808767,-0.0048217718,0.4033654,-683.0,8031.0,-1844.5,18890.0,-2003.0,12909.0,-1244.5,9389.0,-0.004612713,0.31740335,0.02565416,0.18899418,-0.053281274,0.3549059,112.5,8826.5,-2196.0,18538.5,-2267.0,12645.0,-1028.0,9605.5,0.03612569,0.35814175,0.05225407,0.21559408,0.0053525325,0.4135397,-454.0,8260.0,-825.5,19909.0,-2065.0,12847.0,-1224.5,9409.0,0.32201606,0.16334002,0.40818718,8714.0,20734.5,14912.0,10633.5,1,46.07023409336228,24.588012220456456,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3009_0,-0.0070813484,0.3223632,-0.020648729,0.17326297,-0.004702863,0.40549272,-115.0,8464.0,-502.0,20010.0,251.0,14100.0,-92.0,10254.0,-0.008785578,0.32065898,-0.013556334,0.18035537,-0.013826344,0.39636925,-366.0,8213.0,-1513.0,18999.0,-656.0,13193.0,-573.0,9773.0,-0.04361624,0.28582832,-0.04423286,0.14967884,-0.052185092,0.3580105,-202.0,8377.0,-2792.0,17720.0,-743.0,13106.0,-504.0,9842.0,-0.009617724,0.31982684,-0.013662175,0.18024953,-0.016602507,0.39359307,-89.0,8490.0,-1001.0,19511.0,-297.5,13551.5,-291.0,10055.0,0.32944456,0.1939117,0.4101956,8579.0,20512.0,13849.0,10346.0,1,46.02010810050841,24.09591510781578,"{""type"":""MultiPoint"",""coordinates"":[]}"
