system:index,0_NBR_delta_lag4,0_NBR_lag4,0_NDMI_delta_lag4,0_NDMI_lag4,0_NDVI_delta_lag4,0_NDVI_lag4,0_SR_B4_delta_lag4,0_SR_B4_lag4,0_SR_B5_delta_lag4,0_SR_B5_lag4,0_SR_B6_delta_lag4,0_SR_B6_lag4,0_SR_B7_delta_lag4,0_SR_B7_lag4,1_NBR_delta_lag3,1_NBR_lag3,1_NDMI_delta_lag3,1_NDMI_lag3,1_NDVI_delta_lag3,1_NDVI_lag3,1_SR_B4_delta_lag3,1_SR_B4_lag3,1_SR_B5_delta_lag3,1_SR_B5_lag3,1_SR_B6_delta_lag3,1_SR_B6_lag3,1_SR_B7_delta_lag3,1_SR_B7_lag3,2_NBR_delta_lag2,2_NBR_lag2,2_NDMI_delta_lag2,2_NDMI_lag2,2_NDVI_delta_lag2,2_NDVI_lag2,2_SR_B4_delta_lag2,2_SR_B4_lag2,2_SR_B5_delta_lag2,2_SR_B5_lag2,2_SR_B6_delta_lag2,2_SR_B6_lag2,2_SR_B7_delta_lag2,2_SR_B7_lag2,3_NBR_delta_lag1,3_NBR_lag1,3_NDMI_delta_lag1,3_NDMI_lag1,3_NDVI_delta_lag1,3_NDVI_lag1,3_SR_B4_delta_lag1,3_SR_B4_lag1,3_SR_B5_delta_lag1,3_SR_B5_lag1,3_SR_B6_delta_lag1,3_SR_B6_lag1,3_SR_B7_delta_lag1,3_SR_B7_lag1,4_NBR_lag0,4_NDMI_lag0,4_NDVI_lag0,4_SR_B4_lag0,4_SR_B5_lag0,4_SR_B6_lag0,4_SR_B7_lag0,class,latitude,longitude,.geo
1_3000_0,-0.15009417,0.22618689,-0.1790061,0.17171884,0.058797467,0.23477016,-5240.5,8827.5,-5832.5,14244.0,418.5,10069.0,-109.5,8989.0,-0.14463887,0.23164219,-0.19863501,0.15208992,0.11069425,0.28666696,-5885.0,8183.0,-5316.5,14760.0,1212.5,10863.0,109.5,9208.0,-0.21344079,0.16284026,-0.26529488,0.08543005,0.039154906,0.21512762,-5611.0,8457.0,-6983.5,13093.0,1381.5,11032.0,327.5,9426.0,-0.16464314,0.21163793,-0.1918364,0.15888852,0.03522147,0.21119417,-4914.5,9153.5,-6021.5,14055.0,550.5,10201.0,46.5,9145.0,0.37628105,0.35072494,0.1759727,14068.0,20076.5,9650.5,9098.5,1,45.134548893423386,135.10720263651072,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3001_0,-0.06573486,0.13537322,-0.11558527,0.04846346,-0.08024399,0.17499518,-66.0,8552.0,-2345.0,12180.0,623.0,11054.0,-385.5,9275.5,0.003008195,0.20411627,-0.06554115,0.098507576,3.473652E-4,0.25558653,-206.5,8411.5,-337.5,14187.5,1212.0,11643.0,-283.5,9377.5,-0.10153133,0.09957676,-0.14513466,0.018914076,-0.08163446,0.1736047,-111.5,8506.5,-2444.5,12080.5,1201.0,11632.0,231.5,9892.5,-0.05434713,0.14676096,-0.06810994,0.09593879,-0.04820932,0.20702985,-361.0,8257.0,-1956.5,12568.5,-63.0,10368.0,-309.5,9351.5,0.20110808,0.16404873,0.25523916,8618.0,14525.0,10431.0,9661.0,1,45.399462070710236,135.55294668049083,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3002_0,0.008999801,0.18621844,0.024050709,0.16429354,-0.008514486,0.19399074,16.0,8611.0,-204.0,12756.0,-616.0,9156.0,-307.0,8751.0,-0.01480187,0.16241677,-0.054560132,0.0856827,-0.019135065,0.18337016,-463.0,8132.0,-1176.0,11784.0,152.0,9924.0,-567.0,8491.0,-0.022577344,0.1546413,0.013360254,0.15360308,-0.051061556,0.15144366,-322.0,8273.0,-1734.0,11226.0,-1535.5,8236.5,-839.0,8219.0,0.017317824,0.19453646,0.046544675,0.1867875,0.002385822,0.20489104,-385.5,8209.5,-519.5,12440.5,-1247.5,8524.5,-669.5,8388.5,0.17721865,0.14024283,0.20250522,8595.0,12960.0,9772.0,9058.0,1,45.46872217911585,135.22470227567356,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3003_0,-0.09383357,0.21775538,-0.12795512,0.17175339,-0.015491931,0.24098647,-1928.0,8494.5,-3724.5,13888.5,327.0,9817.0,-323.0,8921.5,0.00422118,0.3158101,-0.062439736,0.23726878,0.09700649,0.3534849,-2011.5,8411.0,-4.5,17608.5,1365.0,10855.0,-88.5,9156.0,-0.061455324,0.2501336,-0.12781967,0.17188884,0.02770946,0.28418785,-1948.0,8474.5,-2409.5,15203.5,1253.5,10743.5,-125.0,9119.5,-0.08580958,0.22577937,-0.095393695,0.20431483,-0.02394578,0.2325326,-1333.0,9089.5,-3015.5,14597.5,154.5,9644.5,-24.5,9220.0,0.31158894,0.29970852,0.2564784,10422.5,17613.0,9490.0,9244.5,1,45.40835539202302,135.2047596763661,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3004_0,-0.020242121,0.17097002,-0.027082505,0.12075939,5.4381206E-4,0.19175597,-873.5,8127.5,-1273.0,11984.0,-440.5,9401.5,-516.5,8484.5,-0.015945744,0.1752664,-0.029247591,0.118594304,0.022925267,0.21413742,-863.0,8138.0,-684.0,12573.0,65.0,9907.0,-178.0,8823.0,-0.033088036,0.15812412,-0.056656893,0.091185,-0.0043296083,0.18688254,-626.5,8374.5,-1033.0,12224.0,339.0,10181.0,-115.0,8886.0,-0.031982552,0.15922959,-0.04881365,0.09902825,-0.004255202,0.18695694,-673.0,8328.0,-1099.0,12158.0,125.0,9967.0,-183.0,8818.0,0.19121215,0.1478419,0.19121215,9001.0,13257.0,9842.0,9001.0,1,45.2180922148465,135.78632899130508,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3005_0,2.7203068E-4,0.12555484,0.0018983049,0.087261684,-0.004849997,0.14741294,46.5,7913.5,-43.0,10650.0,-70.5,8940.5,-38.0,8274.0,0.03847736,0.16376019,0.039025348,0.124388725,0.050628725,0.20289166,513.0,8380.0,1953.0,12646.0,837.0,9848.0,775.0,9087.0,-0.00882439,0.11645843,-0.028412443,0.056950934,-0.0048007807,0.14746214,199.5,8066.5,164.0,10857.0,676.0,9687.0,280.0,8592.0,-0.04181853,0.083464295,-0.012514551,0.07284883,-0.04032219,0.11194074,-433.5,7433.5,-1385.5,9307.5,-967.5,8043.5,-438.5,7873.5,0.12528282,0.08536338,0.15226293,7867.0,10693.0,9011.0,8312.0,1,45.20246152890282,135.13819451381283,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3006_0,-9.4077835E-4,0.3001988,-0.0017969039,0.23674607,0.013869079,0.28023902,177.0,10479.0,856.0,18639.0,570.0,11503.0,480.5,10032.0,0.035509508,0.3366491,0.0010634235,0.2396064,0.10371468,0.3700846,-1035.0,9267.0,2373.0,20156.0,1431.0,12364.0,451.5,10003.0,-0.03215669,0.2689829,-0.05275752,0.18578546,0.04543528,0.31180522,-1186.0,9116.0,-406.5,17376.5,998.5,11931.5,458.5,10010.0,0.015332528,0.3164721,-0.06169547,0.1768475,0.1319551,0.39832506,-2004.0,8298.0,1502.0,19285.0,2556.0,13489.0,461.5,10013.0,0.3011396,0.23854297,0.26636994,10302.0,17783.0,10933.0,9551.5,1,45.12134365874683,135.24356689664006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3007_0,-0.049843103,0.34028506,-0.09823128,0.25583452,0.090752505,0.32617825,-3578.0,9747.0,-2347.5,19183.5,1096.5,11367.5,-3.5,9442.5,-0.04140032,0.34872785,-0.06789287,0.2861729,0.01838399,0.25380975,-1463.0,11862.0,-1599.5,19931.5,791.0,11062.0,178.5,9624.5,-0.08892246,0.3012057,-0.11524558,0.23882021,0.12613851,0.36156425,-4950.0,8375.0,-3670.0,17861.0,703.5,10974.5,146.0,9592.0,0.040586453,0.4307146,0.058011416,0.4120772,0.010417035,0.24584278,1800.0,15125.0,3455.0,24986.0,132.0,10403.0,496.0,9942.0,0.39012817,0.35406578,0.23542576,13325.0,21531.0,10271.0,9446.0,1,45.09924510275749,135.0471053440031,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3008_0,-0.05578659,0.15946023,-0.02908518,0.107118554,-0.051404323,0.1919113,-770.0,8272.0,-2656.0,12201.0,-1455.0,9840.0,-749.0,8845.0,0.0014433117,0.21669014,0.022593506,0.15879723,0.028843902,0.27215952,-884.0,8158.0,-598.0,14259.0,-944.0,10351.0,-414.0,9180.0,-0.039740015,0.1755068,-0.041131943,0.09507179,-0.04127104,0.20204458,-612.0,8430.0,-2158.0,12699.0,-801.0,10494.0,-687.0,8907.0,-0.05661828,0.15862854,-0.038481668,0.09772207,-0.05536434,0.18795128,-691.5,8350.5,-2641.0,12216.0,-1254.0,10041.0,-723.0,8871.0,0.21524683,0.13620374,0.24331562,9042.0,14857.0,11295.0,9594.0,1,45.21485827982367,135.787406969646,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3009_0,0.0019250093,0.06790557,0.02102519,0.03335076,0.016858399,0.111310996,191.0,7904.0,562.0,9884.0,151.0,9246.0,459.0,8627.0,0.1318435,0.19782406,0.09035337,0.10267893,0.16732238,0.261775,210.0,7923.0,4220.0,13542.0,1925.0,11020.0,901.0,9069.0,0.02051786,0.08649842,0.003911702,0.01623727,0.056246165,0.15069877,278.5,7991.5,1505.5,10827.5,1386.5,10481.5,935.5,9103.5,-0.039586842,0.026393717,0.015457581,0.02778315,-0.051338434,0.043114163,-400.0,7313.0,-1350.0,7972.0,-1554.0,7541.0,-606.0,7562.0,0.06598056,0.012325569,0.0944526,7713.0,9322.0,9095.0,8168.0,1,45.05100557200027,135.5653434314117,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3010_0,0.022967277,0.17037764,0.0128217,0.12997775,0.0029403544,0.19583082,327.0,8024.0,556.0,11932.0,197.0,9187.0,5.0,8458.0,0.04167181,0.18908216,0.008061425,0.12521747,0.029024946,0.22191542,334.0,8031.0,1236.0,12612.0,815.0,9805.0,148.0,8601.0,0.011371054,0.15878141,-0.032506797,0.08464925,0.011692018,0.2045825,478.5,8175.5,1005.0,12381.0,1458.5,10448.5,535.0,8988.0,-0.0025524562,0.1448579,6.263079E-5,0.11721867,-0.0046676616,0.18822281,-46.0,7651.0,-177.0,11199.0,-141.0,8849.0,-88.0,8365.0,0.14741036,0.11715604,0.19289048,7697.0,11376.0,8990.0,8453.0,1,45.14209474180999,135.16460498316596,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3011_0,-0.02827683,0.19332708,-0.03312383,0.14647447,-0.059263166,0.19539207,51.5,8137.0,-1521.5,12089.0,-466.0,9000.0,-500.5,8172.0,-0.009003961,0.21259995,-0.02304641,0.15655188,-0.029467948,0.22518729,-173.5,7912.0,-1099.5,12511.0,-342.0,9124.0,-548.5,8124.0,-0.036504455,0.18509945,-0.035810333,0.14378797,-0.076402284,0.17825295,484.5,8570.0,-1322.5,12288.0,-267.5,9198.5,-223.0,8449.5,-0.036831398,0.18477252,-0.019431762,0.16016653,-0.069245495,0.18540974,244.5,8330.0,-1488.5,12122.0,-691.0,8775.0,-331.5,8341.0,0.22160392,0.17959829,0.25465524,8085.5,13610.5,9466.0,8672.5,1,45.08630936266617,135.32225931552892,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3012_0,0.11459337,0.22710174,0.10809867,0.17496963,0.124586366,0.24008428,-262.0,8296.0,2745.0,13538.0,66.0,9506.0,-83.0,8527.0,0.0906652,0.20317358,0.07510544,0.1419764,0.11924164,0.23473954,-522.0,8036.0,2173.0,12966.0,302.0,9742.0,-23.0,8587.0,0.072591856,0.18510023,0.052986864,0.11985782,0.107934564,0.22343247,-359.0,8199.0,2124.0,12917.0,712.0,10152.0,272.0,8882.0,0.112004645,0.22451302,0.056943927,0.12381488,0.12652136,0.24201927,-22.0,8536.0,3194.0,13987.0,1465.0,10905.0,248.0,8858.0,0.11250837,0.06687095,0.11549791,8558.0,10793.0,9440.0,8610.0,1,45.12134365874683,135.15678964019412,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3013_0,-0.022353843,0.11037361,0.009494209,0.096152894,-0.0033048028,0.16117159,-162.0,7976.0,-301.0,11041.0,-429.0,9104.0,162.0,8846.0,-0.030192535,0.10253492,-0.037839785,0.048818897,-0.018423472,0.14605291,-198.0,7940.0,-686.0,10656.0,131.0,9664.0,-10.0,8674.0,-0.01790876,0.11481869,-0.0070045427,0.07965414,0.0021293866,0.16660577,-154.5,7983.5,-166.5,11175.5,-6.5,9526.5,189.5,8873.5,-0.0038143685,0.12891309,-0.025911447,0.060747236,0.06093518,0.22541156,-798.0,7340.0,270.0,11612.0,749.0,10282.0,276.0,8960.0,0.13272746,0.08665868,0.16447638,8138.0,11342.0,9533.0,8684.0,1,45.14020827971334,135.06084956785014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3014_0,0.034422733,0.24693497,0.006504155,0.2025189,0.059438143,0.23832631,-857.0,8633.0,410.5,14035.5,149.0,9308.0,-372.5,8476.5,0.082087845,0.29460007,0.011635828,0.20765057,0.16287726,0.34176543,-1436.5,8053.5,2791.5,16416.5,1612.0,10771.0,96.0,8945.0,0.006985672,0.2194979,-0.057632525,0.13838223,0.055275112,0.23416328,-447.0,9043.0,948.0,14573.0,1871.0,11030.0,478.0,9327.0,-0.0077792318,0.204733,-0.020085664,0.17592908,0.01639861,0.19528678,-202.0,9288.0,171.0,13796.0,509.0,9668.0,258.0,9107.0,0.21251224,0.19601475,0.17888817,9490.0,13625.0,9159.0,8849.0,1,45.10301802695079,135.1500522755632,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3015_0,-0.051041316,0.17323045,-0.062731184,0.13494988,-0.07720018,0.1896853,-255.0,8233.0,-2580.5,12087.5,-613.0,9213.0,-776.0,8518.0,-0.123920806,0.10035095,-0.14018436,0.057496708,-0.13666129,0.13022417,-767.0,7721.0,-4635.0,10033.0,-884.0,8942.0,-1091.0,8203.0,-0.120110616,0.10416114,-0.14936702,0.048314042,-0.1308689,0.13601658,-567.0,7921.0,-4253.0,10415.0,-371.0,9455.0,-844.0,8450.0,-0.07310633,0.15116543,-0.10290285,0.09477821,-0.086816765,0.18006872,-552.5,7935.5,-3247.0,11421.0,-382.5,9443.5,-872.5,8421.5,0.22427176,0.19768107,0.26688546,8488.0,14668.0,9826.0,9294.0,1,45.73552181849935,135.93212556191767,"{""type"":""MultiPoint"",""coordinates"":[]}"
