system:index,0_NBR_delta_lag4,0_NBR_lag4,0_NDMI_delta_lag4,0_NDMI_lag4,0_NDVI_delta_lag4,0_NDVI_lag4,0_SR_B4_delta_lag4,0_SR_B4_lag4,0_SR_B5_delta_lag4,0_SR_B5_lag4,0_SR_B6_delta_lag4,0_SR_B6_lag4,0_SR_B7_delta_lag4,0_SR_B7_lag4,1_NBR_delta_lag3,1_NBR_lag3,1_NDMI_delta_lag3,1_NDMI_lag3,1_NDVI_delta_lag3,1_NDVI_lag3,1_SR_B4_delta_lag3,1_SR_B4_lag3,1_SR_B5_delta_lag3,1_SR_B5_lag3,1_SR_B6_delta_lag3,1_SR_B6_lag3,1_SR_B7_delta_lag3,1_SR_B7_lag3,2_NBR_delta_lag2,2_NBR_lag2,2_NDMI_delta_lag2,2_NDMI_lag2,2_NDVI_delta_lag2,2_NDVI_lag2,2_SR_B4_delta_lag2,2_SR_B4_lag2,2_SR_B5_delta_lag2,2_SR_B5_lag2,2_SR_B6_delta_lag2,2_SR_B6_lag2,2_SR_B7_delta_lag2,2_SR_B7_lag2,3_NBR_delta_lag1,3_NBR_lag1,3_NDMI_delta_lag1,3_NDMI_lag1,3_NDVI_delta_lag1,3_NDVI_lag1,3_SR_B4_delta_lag1,3_SR_B4_lag1,3_SR_B5_delta_lag1,3_SR_B5_lag1,3_SR_B6_delta_lag1,3_SR_B6_lag1,3_SR_B7_delta_lag1,3_SR_B7_lag1,4_NBR_lag0,4_NDMI_lag0,4_NDVI_lag0,4_SR_B4_lag0,4_SR_B5_lag0,4_SR_B6_lag0,4_SR_B7_lag0,class,latitude,longitude,.geo
1_3000_0,0.22286281,0.34506297,0.19463651,0.21110928,0.12727398,0.37759832,-1499.0,8324.0,2041.0,18424.0,-3851.0,12001.0,-3844.0,8971.0,0.22086395,0.3430641,0.1903394,0.20681217,0.13442062,0.38474497,-1605.5,8217.5,2112.0,18495.0,-3696.0,12156.0,-3768.5,9046.5,0.23335135,0.3555515,0.20233254,0.21880533,0.1421395,0.39246386,-1713.0,8110.0,2205.0,18588.0,-3938.0,11914.0,-3978.0,8837.0,0.22501276,0.3472129,0.20015083,0.21662362,0.13099839,0.38132274,-1490.5,8332.5,2221.0,18604.0,-3873.0,11979.0,-3800.5,9014.5,0.122200154,0.016472777,0.25032434,9823.0,16383.0,15852.0,12815.0,1,-3.89001959058697,-63.80513375856352,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3001_0,0.19574767,0.31010863,0.2151479,0.19448732,0.13276458,0.33866945,-1112.0,8221.0,2468.0,16641.0,-3549.0,11222.0,-2501.0,8763.0,0.14995055,0.26431152,0.17412004,0.15345944,0.09783905,0.30374393,-1062.0,8271.0,1314.5,15487.5,-3404.5,11366.5,-2252.0,9012.0,0.14687018,0.26123115,0.14046274,0.119802155,0.11613892,0.3220438,-1206.0,8127.0,1675.0,15848.0,-2314.0,12457.0,-1981.0,9283.0,0.17723088,0.29159185,0.17492,0.1542594,0.12565777,0.33156264,-1028.0,8305.0,2371.0,16544.0,-2649.0,12122.0,-2190.0,9074.0,0.11436097,-0.020660587,0.20590487,9333.0,14173.0,14771.0,11264.0,1,-4.19832139609679,-63.41248014787488,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3002_0,0.050162323,0.3709015,0.043858845,0.23066695,0.03307989,0.41678265,-189.0,8382.0,1118.5,20362.0,-456.5,12729.0,-553.0,9344.0,0.050293617,0.3710328,0.042043976,0.22885208,0.033141248,0.41684398,-281.0,8290.0,898.0,20141.5,-546.0,12639.5,-657.0,9240.0,0.04774918,0.36848834,0.036045603,0.2228537,0.031308215,0.41501096,-165.0,8406.0,1089.5,20333.0,-263.5,12922.0,-514.0,9383.0,0.03512275,0.35586193,0.030313484,0.21712159,0.020333322,0.40403607,-243.0,8328.0,376.5,19620.0,-565.5,12620.0,-576.0,9321.0,0.32073918,0.18680811,0.38370275,8571.0,19243.5,13185.5,9897.0,1,-3.6027383627255474,-64.39990830817906,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3003_0,0.1656075,0.30962762,0.16661923,0.1777423,0.121929206,0.35417455,-969.0,8093.0,2425.0,16969.5,-2377.0,11847.5,-1937.0,8945.5,0.17339444,0.31741458,0.17316492,0.184288,0.13416123,0.3664066,-901.0,8161.0,3055.5,17600.0,-2102.0,12122.5,-1763.5,9119.0,0.16335393,0.3073741,0.17905986,0.19018295,0.11771618,0.34996152,-1035.0,8027.0,2125.5,16670.0,-2882.0,11342.5,-2051.0,8831.5,0.19779764,0.34181777,0.19838588,0.20950897,0.15298343,0.38522878,-967.0,8095.0,3695.5,18240.0,-2303.5,11921.0,-1935.5,8947.0,0.14402014,0.0111230835,0.23224536,9062.0,14544.5,14224.5,10882.5,1,-4.2015553311196205,-63.082618775546194,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3004_0,0.063819095,0.36358756,0.09717687,0.21974938,0.02455819,0.41355503,-768.5,8430.0,-591.5,20319.5,-3346.5,12998.0,-1782.0,9483.5,0.0464971,0.34626555,0.08366751,0.20624001,0.008397251,0.3973941,-654.0,8544.5,-1097.0,19814.0,-3306.0,13038.5,-1644.0,9621.5,0.08148154,0.38125,0.11834695,0.24091946,0.03465692,0.42365375,-609.5,8589.0,305.0,21216.0,-3366.5,12978.0,-1761.5,9504.0,0.07540826,0.37517673,0.107676335,0.23024884,0.02912211,0.41811895,-617.5,8581.0,2.0,20913.0,-3259.5,13085.0,-1763.5,9502.0,0.29976848,0.122572504,0.38899684,9198.5,20911.0,16344.5,11265.5,1,-3.6310352941753123,-64.24548791083892,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3005_0,0.18108466,0.39644587,0.15789747,0.23067118,0.13607368,0.46336037,-1098.5,8321.0,4105.5,22690.5,-1879.0,14184.5,-2191.5,9807.0,0.18177545,0.3971367,0.16320999,0.2359837,0.11896295,0.44624963,-881.5,8538.0,3714.0,22299.0,-2279.5,13784.0,-2376.5,9622.0,0.19487998,0.41024122,0.1762659,0.2490396,0.13962233,0.46690902,-1207.5,8212.0,4012.0,22597.0,-2477.5,13586.0,-2548.5,9450.0,0.17002094,0.38538218,0.16161874,0.23439246,0.1080333,0.43532,-944.5,8475.0,2957.0,21542.0,-2702.5,13361.0,-2441.5,9557.0,0.21536122,0.07277371,0.3272867,9419.5,18585.0,16063.5,11998.5,1,-3.8695380021090453,-63.52054747655446,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3006_0,0.091511935,0.36683452,0.10339969,0.22667718,0.07112254,0.41236863,-494.0,8414.0,2086.0,20223.0,-1407.0,12749.0,-938.0,9368.0,0.114210084,0.38953266,0.12677263,0.25005013,0.10972129,0.45096734,-650.0,8258.0,3687.0,21824.0,-1063.0,13093.0,-718.0,9588.0,0.09946171,0.3747843,0.105525196,0.22880268,0.08293574,0.42418182,-775.0,8133.0,1978.5,20115.5,-1531.5,12624.5,-1158.0,9148.0,0.09108911,0.3664117,0.10206628,0.22534376,0.071080975,0.41232705,-732.0,8176.0,1512.0,19649.0,-1734.0,12422.0,-1195.0,9111.0,0.2753226,0.12327749,0.34124607,8908.0,18137.0,14156.0,10306.0,1,-3.223559481298697,-64.81978087197652,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3007_0,0.27161494,0.38858443,0.2194631,0.2432816,0.1917982,0.4284475,-1818.5,8237.5,4296.5,20587.5,-3002.5,12530.5,-3814.0,9065.0,0.2685157,0.3854852,0.224662,0.24848051,0.18788153,0.42453086,-1592.0,8464.0,4661.0,20952.0,-2921.0,12612.0,-3586.0,9293.0,0.2865358,0.40350527,0.24355157,0.26737007,0.2026889,0.43933824,-1821.0,8235.0,4850.0,21141.0,-3312.0,12221.0,-3894.0,8985.0,0.24205422,0.35902372,0.21051414,0.23433265,0.14922395,0.3858733,-1531.0,8525.0,2947.0,19238.0,-3599.5,11933.5,-3805.5,9073.5,0.11696949,0.023818502,0.23664933,10056.0,16291.0,15533.0,12879.0,1,-4.433051179837221,-63.4494009060522,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3008_0,0.09953269,0.35309696,0.09717172,0.21763033,0.17279989,0.39534968,-1455.0,8302.0,3815.5,19158.5,266.0,12310.0,23.5,9159.5,0.060876228,0.31444052,0.06511386,0.18557248,0.10664584,0.32919565,-1002.5,8754.5,2004.0,17347.0,-127.5,11916.5,-88.5,9047.5,0.052016217,0.3055805,0.07752891,0.19798751,0.10851114,0.33106095,-1171.0,8586.0,1741.5,17084.5,-606.5,11437.5,-49.0,9087.0,0.096440025,0.35000432,0.102732144,0.22319075,0.16723086,0.38978067,-1146.5,8610.5,4267.5,19610.5,410.0,12454.0,306.0,9442.0,0.25356427,0.12045861,0.2225498,9757.0,15343.0,12044.0,9136.0,1,-3.655289806846539,-64.17110740531382,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3009_0,0.18240587,0.34639978,0.115874216,0.20274936,0.13009831,0.3968214,-1360.5,8387.5,2584.0,19423.5,-1272.5,12875.0,-2665.5,9429.0,0.1907995,0.35479343,0.13352709,0.22040223,0.13110378,0.39782688,-1435.0,8313.0,2457.5,19297.0,-1820.5,12327.0,-2904.5,9190.0,0.1948993,0.35889322,0.13200742,0.21888256,0.13635276,0.40307584,-1160.5,8587.5,3345.5,20185.0,-1212.0,12935.5,-2571.5,9523.0,0.18503337,0.34902728,0.12485819,0.21173333,0.12910649,0.39582956,-1389.0,8359.0,2472.5,19312.0,-1584.5,12563.0,-2775.5,9319.0,0.16399391,0.08687514,0.2667231,9748.0,16839.5,14147.5,12094.5,1,-3.5496479294340837,-64.6384110161128,"{""type"":""MultiPoint"",""coordinates"":[]}"
