system:index,0_NBR_delta_lag4,0_NBR_lag4,0_NDMI_delta_lag4,0_NDMI_lag4,0_NDVI_delta_lag4,0_NDVI_lag4,0_SR_B4_delta_lag4,0_SR_B4_lag4,0_SR_B5_delta_lag4,0_SR_B5_lag4,0_SR_B6_delta_lag4,0_SR_B6_lag4,0_SR_B7_delta_lag4,0_SR_B7_lag4,1_NBR_delta_lag3,1_NBR_lag3,1_NDMI_delta_lag3,1_NDMI_lag3,1_NDVI_delta_lag3,1_NDVI_lag3,1_SR_B4_delta_lag3,1_SR_B4_lag3,1_SR_B5_delta_lag3,1_SR_B5_lag3,1_SR_B6_delta_lag3,1_SR_B6_lag3,1_SR_B7_delta_lag3,1_SR_B7_lag3,2_NBR_delta_lag2,2_NBR_lag2,2_NDMI_delta_lag2,2_NDMI_lag2,2_NDVI_delta_lag2,2_NDVI_lag2,2_SR_B4_delta_lag2,2_SR_B4_lag2,2_SR_B5_delta_lag2,2_SR_B5_lag2,2_SR_B6_delta_lag2,2_SR_B6_lag2,2_SR_B7_delta_lag2,2_SR_B7_lag2,3_NBR_delta_lag1,3_NBR_lag1,3_NDMI_delta_lag1,3_NDMI_lag1,3_NDVI_delta_lag1,3_NDVI_lag1,3_SR_B4_delta_lag1,3_SR_B4_lag1,3_SR_B5_delta_lag1,3_SR_B5_lag1,3_SR_B6_delta_lag1,3_SR_B6_lag1,3_SR_B7_delta_lag1,3_SR_B7_lag1,4_NBR_lag0,4_NDMI_lag0,4_NDVI_lag0,4_SR_B4_lag0,4_SR_B5_lag0,4_SR_B6_lag0,4_SR_B7_lag0,class,latitude,longitude,.geo
1_3000_0,0.17646958,0.34189874,0.18192516,0.20307587,0.16480389,0.3930786,-3564.0,8418.0,251.5,19322.0,-5481.5,12799.0,-4180.5,9476.0,0.2090853,0.37451446,0.20774518,0.22889589,0.19547541,0.4237501,-3496.0,8486.0,1896.0,20966.5,-5124.5,13156.0,-4115.5,9541.0,0.20855851,0.37398767,0.22297691,0.24412762,0.19696419,0.42523888,-3395.5,8586.5,2221.5,21292.0,-5344.5,12936.0,-3955.5,9701.0,0.22226737,0.38769653,0.22041665,0.24156736,0.20736523,0.43563992,-3524.5,8457.5,2444.0,21514.5,-5138.0,13142.5,-4163.5,9493.0,0.16542916,0.021150706,0.2282747,11982.0,19070.5,18280.5,13656.5,1,2.807190347109299,113.39644935532489,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3001_0,0.0980514,0.3737707,0.0963798,0.2409969,0.09219466,0.42454314,-857.0,8408.0,2325.0,20814.0,-1087.0,12730.0,-1009.0,9488.0,0.09896108,0.3746804,0.09634996,0.24096707,0.08723785,0.41958633,-692.0,8573.0,2479.0,20968.0,-992.0,12825.0,-959.0,9538.0,0.096285075,0.3720044,0.09123001,0.23584712,0.08962055,0.42196906,-741.5,8523.5,2479.0,20968.0,-852.0,12965.0,-899.5,9597.5,0.10264053,0.37835985,0.09638116,0.24099825,0.09299673,0.4253452,-1160.5,8104.5,1613.0,20102.0,-1522.5,12294.5,-1431.0,9066.0,0.2757193,0.1446171,0.3323485,9265.0,18489.0,13817.0,10497.0,1,2.995297567603927,113.38351361523357,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3002_0,0.008271326,0.28574064,0.03939158,0.19928421,0.077117294,0.3644194,-3665.5,8117.0,-3857.0,17425.0,-3780.5,11634.0,-2357.0,9680.0,0.1273793,0.4048486,0.105517216,0.26540986,0.16072658,0.44802868,-3620.5,8162.0,130.0,21412.0,-2984.5,12430.0,-2966.0,9071.0,0.103372715,0.38084203,0.08318929,0.24308191,0.14408158,0.43138367,-3261.5,8521.0,168.0,21450.0,-2353.5,13061.0,-2419.0,9618.0,0.1326235,0.4100928,0.110554196,0.27044684,0.16447456,0.45177665,-3520.5,8262.0,597.0,21879.0,-2850.5,12564.0,-2884.0,9153.0,0.2774693,0.15989263,0.28730208,11782.5,21282.0,15414.5,12037.0,1,2.3757295161466927,113.87183780368095,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3003_0,0.05501544,0.37640166,0.050526805,0.24728684,0.03660345,0.43027216,-38.5,8446.5,1701.5,21204.5,-293.5,12796.5,-409.0,9607.0,0.036580775,0.357967,0.05814598,0.25490603,0.012312562,0.40598127,478.0,8963.0,1711.5,21214.5,-494.0,12596.0,14.0,10030.0,0.093397245,0.41478348,0.08573629,0.28249633,0.09130577,0.48497447,-310.0,8175.0,4068.0,23571.0,97.0,13187.0,-266.0,9750.0,0.05945769,0.3808439,0.06366925,0.2604293,0.0334559,0.42712462,-28.5,8456.5,1563.5,21066.5,-729.0,12361.0,-570.0,9446.0,0.32138622,0.19676004,0.3936687,8485.0,19503.0,13090.0,10016.0,1,2.1051569525698928,114.58572895997072,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3004_0,0.19434488,0.32673123,0.23552524,0.21374427,0.1387494,0.36822578,-3674.5,8428.5,-1058.5,18253.5,-8347.5,11824.5,-5533.5,9263.0,0.21155855,0.3439449,0.23523276,0.21345177,0.1581055,0.38758186,-3662.5,8440.5,-188.0,19124.0,-7776.0,12396.0,-5461.0,9335.5,0.22534694,0.3577333,0.24443212,0.22265114,0.1738918,0.40336818,-3653.5,8449.5,562.5,19874.5,-7536.0,12636.0,-5395.0,9401.5,0.22388768,0.35627404,0.24427043,0.22248946,0.17236468,0.40184104,-3753.0,8350.0,257.0,19569.0,-7726.0,12446.0,-5508.5,9288.0,0.13238636,-0.021780975,0.22947636,12103.0,19312.0,20172.0,14796.5,1,2.813388722569724,113.32988419277163,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3005_0,0.039677173,0.38725886,0.010191747,0.24903214,0.019043373,0.44085607,-646.5,7981.5,-649.5,20567.5,-670.0,12366.0,-1187.5,9084.5,0.010041448,0.35762313,0.0036818609,0.24252225,0.016557083,0.43836978,-153.0,8475.0,488.0,21705.0,196.0,13232.0,-2.0,10270.0,-0.008013082,0.33956861,-0.03393298,0.20490742,-0.02217385,0.39963886,-150.0,8478.0,-1452.0,19765.0,6.5,13042.5,-527.5,9744.5,0.028447093,0.37602878,0.003592966,0.24243335,0.00820323,0.43001592,-398.0,8230.0,-569.0,20648.0,-446.0,12590.0,-909.0,9363.0,0.34758168,0.23884039,0.4218127,8628.0,21217.0,13036.0,10272.0,1,2.2161887216870655,114.51835531366176,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3006_0,0.03827429,0.35368848,0.08515192,0.22341783,0.05181386,0.42985868,-780.0,8795.0,842.0,22057.0,-2060.0,14001.0,-510.0,10531.0,0.008114659,0.32352886,0.07986179,0.2181277,-0.007338494,0.37070632,-1683.5,7891.5,-4026.0,17189.0,-5028.0,11033.0,-2255.5,8785.5,0.029799623,0.3452138,0.11195766,0.25022358,-0.01233031,0.36571452,-1459.0,8116.0,-3740.0,17475.0,-5581.0,10480.0,-2535.0,8506.0,0.040976193,0.3563904,0.072844215,0.21111013,0.04342442,0.42146924,-1243.0,8332.0,-743.0,20472.0,-2726.0,13335.0,-1327.0,9714.0,0.3154142,0.13826591,0.3780448,9575.0,21215.0,16061.0,11041.0,1,1.9946641726231917,113.18543509508521,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3007_0,0.19404897,0.38469487,0.18361235,0.23849131,0.17944379,0.4395918,-1951.0,8347.0,3902.0,21442.0,-2531.0,13184.0,-2395.0,9528.0,0.19330864,0.38395452,0.17903572,0.23391469,0.17721365,0.43736166,-2100.5,8197.5,3402.0,20942.0,-2713.0,13002.0,-2601.0,9322.0,0.20010531,0.3907512,0.18698378,0.24186274,0.17746808,0.43761608,-1895.0,8403.0,3940.5,21480.5,-2601.5,13113.5,-2513.0,9410.0,0.16534427,0.35599017,0.17312911,0.22800808,0.1550217,0.4151697,-1695.0,8603.0,3277.5,20817.5,-2628.0,13087.0,-2036.0,9887.0,0.19064589,0.054878965,0.260148,10298.0,17540.0,15715.0,11923.0,1,2.929001899635906,113.9812526052867,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3008_0,0.049911104,0.3550951,0.04891897,0.2367641,0.032910112,0.3978587,-514.5,8042.5,278.5,18670.5,-1053.0,11522.0,-905.5,8885.5,0.07498246,0.38016644,0.055952135,0.24379726,0.059726577,0.4246752,-520.0,8037.0,1510.0,19902.0,-475.0,12100.0,-853.0,8938.0,0.070713356,0.37589732,0.054203507,0.24204864,0.057426862,0.42237547,-306.5,8250.5,1924.5,20316.5,-177.0,12398.0,-575.5,9215.5,0.07178189,0.37696588,0.057341807,0.24518694,0.062809,0.4277576,-521.0,8036.0,1658.0,20050.0,-421.0,12154.0,-719.0,9072.0,0.30518398,0.18784513,0.3649486,8557.0,18392.0,12575.0,9791.0,1,2.6991230184297206,114.1585800423719,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3009_0,0.09005996,0.33611506,0.1026182,0.22805719,0.11246555,0.37455285,-1344.5,8305.0,1748.0,18252.0,-1352.0,11473.0,-917.0,9069.0,0.1021002,0.34815532,0.10531718,0.23075616,0.13318363,0.3952709,-1798.0,7851.5,1611.5,18115.5,-1502.5,11322.5,-1227.0,8759.0,0.100990705,0.3470458,0.10506172,0.2305007,0.11948357,0.38157085,-1602.5,8047.0,1473.0,17977.0,-1583.0,11242.0,-1272.0,8714.0,0.11223131,0.3582864,0.11770299,0.24314198,0.1343802,0.3964675,-1619.5,8030.0,2076.0,18580.0,-1513.0,11312.0,-1208.0,8778.0,0.24605511,0.12543899,0.2620873,9649.5,16504.0,12825.0,9986.0,1,2.384622837459476,113.84003744262311,"{""type"":""MultiPoint"",""coordinates"":[]}"
