system:index,0_NBR_delta_lag4,0_NBR_lag4,0_NDMI_delta_lag4,0_NDMI_lag4,0_NDVI_delta_lag4,0_NDVI_lag4,0_SR_B4_delta_lag4,0_SR_B4_lag4,0_SR_B5_delta_lag4,0_SR_B5_lag4,0_SR_B6_delta_lag4,0_SR_B6_lag4,0_SR_B7_delta_lag4,0_SR_B7_lag4,1_NBR_delta_lag3,1_NBR_lag3,1_NDMI_delta_lag3,1_NDMI_lag3,1_NDVI_delta_lag3,1_NDVI_lag3,1_SR_B4_delta_lag3,1_SR_B4_lag3,1_SR_B5_delta_lag3,1_SR_B5_lag3,1_SR_B6_delta_lag3,1_SR_B6_lag3,1_SR_B7_delta_lag3,1_SR_B7_lag3,2_NBR_delta_lag2,2_NBR_lag2,2_NDMI_delta_lag2,2_NDMI_lag2,2_NDVI_delta_lag2,2_NDVI_lag2,2_SR_B4_delta_lag2,2_SR_B4_lag2,2_SR_B5_delta_lag2,2_SR_B5_lag2,2_SR_B6_delta_lag2,2_SR_B6_lag2,2_SR_B7_delta_lag2,2_SR_B7_lag2,3_NBR_delta_lag1,3_NBR_lag1,3_NDMI_delta_lag1,3_NDMI_lag1,3_NDVI_delta_lag1,3_NDVI_lag1,3_SR_B4_delta_lag1,3_SR_B4_lag1,3_SR_B5_delta_lag1,3_SR_B5_lag1,3_SR_B6_delta_lag1,3_SR_B6_lag1,3_SR_B7_delta_lag1,3_SR_B7_lag1,4_NBR_lag0,4_NDMI_lag0,4_NDVI_lag0,4_SR_B4_lag0,4_SR_B5_lag0,4_SR_B6_lag0,4_SR_B7_lag0,class,latitude,longitude,.geo
1_3000_0,0.057737112,0.3359055,0.08279704,0.20410022,0.026575116,0.38726294,-299.0,8029.0,453.0,18178.0,-1874.5,12015.5,-973.5,9036.5,0.059646443,0.3378148,0.08385474,0.20515792,0.029180966,0.3898688,-225.0,8103.0,733.5,18458.5,-1716.0,12174.0,-873.5,9136.5,0.039163776,0.31733215,0.06692429,0.18822747,0.014759683,0.3754475,-216.0,8112.0,140.0,17865.0,-1685.0,12205.0,-752.0,9258.0,0.04373971,0.3219081,0.06447918,0.18578236,0.017955158,0.37864298,-141.0,8187.0,440.0,18165.0,-1417.0,12473.0,-692.0,9318.0,0.27816838,0.12130318,0.36068782,8328.0,17725.0,13890.0,10010.0,1,-0.2769056863298425,21.98038261371431,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3001_0,0.02002523,0.32916728,0.02031406,0.21218048,0.015996281,0.37313774,-62.0,8205.0,520.5,17973.0,-152.5,11681.0,-139.0,9071.0,-0.010900599,0.29824147,-0.012578975,0.17928745,-0.016134039,0.34100744,-195.0,8072.0,-1026.5,16426.0,-402.0,11431.5,-331.0,8879.0,0.011053293,0.32019535,0.002623269,0.19448969,0.0070238127,0.36416528,-234.5,8032.5,-219.0,17233.5,-212.0,11621.5,-336.0,8874.0,-0.0077146166,0.30142742,-0.011388214,0.1804782,-0.0103254095,0.34681606,-120.0,8147.0,-654.0,16798.5,-171.5,11662.0,-193.0,9017.0,0.30914205,0.19186643,0.35714146,8267.0,17452.5,11833.5,9210.0,1,0.6089230153404177,21.104525211697773,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3002_0,0.004836064,0.3364847,-0.017022464,0.19692951,-0.005549242,0.38535747,-132.5,8059.5,-541.5,18165.5,75.0,12188.0,-370.5,9018.5,-0.014990552,0.31665808,-0.026029166,0.18792282,-0.0281231,0.3627836,-125.0,8067.0,-1454.5,17252.5,-319.0,11794.0,-435.0,8954.0,0.01482205,0.34647068,-0.006127782,0.2078242,-0.0029356596,0.38797107,78.5,8270.5,49.0,18756.0,188.5,12301.5,-285.5,9103.5,0.0019299289,0.33357856,-0.009300044,0.20465194,-0.010354185,0.38055253,-58.5,8133.5,-580.0,18127.0,-145.0,11968.0,-330.5,9058.5,0.33164865,0.21395198,0.39090672,8192.0,18707.0,12113.0,9389.0,1,0.6930053259340049,22.581355538790266,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3003_0,-0.0049702097,0.2947563,0.01370773,0.18246812,-0.019337984,0.336772,-184.0,8165.0,-1127.0,16457.0,-1128.0,11378.0,-510.0,8964.0,0.022796009,0.32252252,0.018824227,0.18758461,0.016742913,0.3728529,-134.0,8215.0,399.0,17983.0,-204.0,12302.0,-262.0,9212.0,0.01158977,0.31131628,0.015156907,0.1839173,0.0025229058,0.3586329,-186.0,8163.0,-292.0,17292.0,-586.5,11919.5,-392.5,9081.5,0.027106386,0.3268329,0.025051562,0.19381195,0.017498191,0.37360817,-220.0,8129.0,242.0,17826.0,-468.0,12038.0,-430.0,9044.0,0.29972652,0.16876039,0.35610998,8349.0,17584.0,12506.0,9474.0,1,0.3965612821745628,22.45172864329182,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3004_0,0.02783036,0.3244262,0.037208643,0.19920251,0.00635836,0.3686078,-70.0,8186.0,109.0,17744.0,-869.0,11849.0,-516.0,9051.0,0.0122878,0.30888364,0.03852893,0.20052281,0.006159242,0.36840868,-201.0,8055.0,-183.0,17452.0,-1096.0,11622.0,-352.0,9215.0,0.032869924,0.32946575,0.024064828,0.1860587,-0.0028861626,0.35936326,276.0,8532.0,469.0,18104.0,-294.0,12424.0,-436.0,9131.0,0.022605883,0.3192017,0.013952531,0.1759464,-0.01733591,0.3449135,550.0,8806.0,444.0,18079.0,-49.0,12669.0,-237.0,9330.0,0.29659584,0.16199388,0.36224943,8256.0,17635.0,12718.0,9567.0,1,-0.9285435934301435,22.59995066517154,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3005_0,0.02927357,0.36663195,0.010656978,0.21563238,0.020513922,0.4181248,-150.0,8347.0,629.0,20343.0,119.0,13126.0,-340.0,9428.0,0.02975164,0.36711,0.014282073,0.21925747,0.02191402,0.41952488,-238.0,8259.0,483.0,20197.0,-74.0,12933.0,-418.0,9350.0,0.034031987,0.37139037,0.022351714,0.22732711,0.026468547,0.42407942,-200.0,8297.0,802.0,20516.0,-91.0,12916.0,-364.0,9404.0,0.010517539,0.34787592,-0.0059291646,0.19904624,0.0035527449,0.4011636,46.0,8543.0,275.0,19989.0,345.5,13352.5,-97.0,9671.0,0.3373584,0.2049754,0.39761087,8497.0,19714.0,13007.0,9768.0,1,-0.5404713906905102,22.94490373427344,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3006_0,0.024898907,0.36143082,0.019562483,0.22024722,0.03134918,0.4187006,-360.5,8312.0,647.0,20286.0,-111.0,12963.0,-234.0,9515.0,-0.006377279,0.33015463,-0.016867328,0.18381742,0.027687298,0.41503873,-138.5,8534.0,1005.0,20644.0,1159.0,14233.0,647.0,10396.0,0.0051267114,0.34165862,-0.0011870047,0.19949774,0.016671803,0.40402323,-258.5,8414.0,183.0,19822.0,154.5,13228.5,-22.5,9726.5,0.007996831,0.34452873,0.0041995435,0.20488429,0.013058206,0.40040964,-402.5,8270.0,-323.5,19315.5,-327.5,12746.5,-332.5,9416.5,0.3365319,0.20068474,0.38735142,8672.5,19639.0,13074.0,9749.0,1,-0.3876679608617795,22.425318173938706,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3007_0,0.018473594,0.3211542,0.01935905,0.19175039,0.0046416307,0.3699497,-105.0,8265.0,-34.0,17971.0,-522.0,12188.0,-404.0,9234.0,0.026742872,0.3294235,0.034536947,0.20692828,0.01573745,0.38104552,-141.0,8229.0,356.0,18361.0,-645.0,12065.0,-376.5,9261.5,0.0095135905,0.3121942,0.015107588,0.18749893,-0.004252133,0.3610559,-249.5,8120.5,-707.0,17298.0,-874.5,11835.5,-571.0,9067.0,-4.6550186E-4,0.3022151,-0.011624638,0.1607667,-0.00477714,0.3605309,133.5,8503.5,87.0,18092.0,370.5,13080.5,56.5,9694.5,0.3026806,0.17239134,0.36530805,8370.0,18005.0,12710.0,9638.0,1,-0.29981272607489035,22.558717993630456,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3008_0,0.09728003,0.35030612,0.11432364,0.21120314,0.05316127,0.40480193,-615.0,8410.0,1035.0,19849.5,-2564.0,12927.0,-1665.5,9550.5,0.10158336,0.35460946,0.116027586,0.2129071,0.06593521,0.41757587,-724.0,8301.0,1389.5,20204.0,-2380.0,13111.0,-1590.0,9626.0,0.08915414,0.34218022,0.10102456,0.19790407,0.04104913,0.3926898,-601.0,8424.0,503.5,19318.0,-2556.0,12935.0,-1748.0,9468.0,0.106944434,0.35997054,0.119706765,0.21658628,0.06325185,0.4148925,-629.0,8396.0,1488.5,20303.0,-2417.0,13074.0,-1661.0,9555.0,0.2530261,0.09687951,0.35164064,9025.0,18814.5,15491.0,11216.0,1,-0.5962567698343324,21.126354273101878,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3009_0,0.036320623,0.28026986,0.0391408,0.16718839,0.006190624,0.31760037,-83.5,8255.5,58.5,15940.0,-902.5,11373.5,-691.5,8961.0,0.066274896,0.31022415,0.048285354,0.17633295,0.048958264,0.360368,-66.0,8273.0,1713.5,17595.0,44.0,12320.0,-389.5,9263.0,0.037231628,0.28118086,0.044305287,0.17235288,0.011980356,0.32339013,-196.0,8143.0,45.5,15927.0,-1032.0,11244.0,-716.5,8936.0,0.028626537,0.2725758,0.025029777,0.15307736,-4.4760463E-4,0.31096214,90.0,8429.0,155.5,16037.0,-497.0,11779.0,-485.5,9167.0,0.24394925,0.12804759,0.31140974,8339.0,15881.5,12276.0,9652.5,1,0.5903278889591436,21.023137846956544,"{""type"":""MultiPoint"",""coordinates"":[]}"
